date,Barbecue
2018-01-07,0.06
2018-01-14,0.06
2018-01-21,0.05
2018-01-28,0.075
2018-02-04,0.09
2018-02-11,0.08
2018-02-18,0.075
2018-02-25,0.075
2018-03-04,0.11
2018-03-11,0.135
2018-03-18,0.14
2018-03-25,0.21
2018-04-01,0.3
2018-04-08,0.325
2018-04-15,0.76
2018-04-22,0.645
2018-04-29,0.455
2018-05-06,0.78
2018-05-13,0.43
2018-05-20,0.61
2018-05-27,0.42
2018-06-03,0.45
2018-06-10,0.435
2018-06-17,0.44
2018-06-24,0.665
2018-07-01,0.545
2018-07-08,0.57
2018-07-15,0.465
2018-07-22,0.565
2018-07-29,0.6
2018-08-05,0.59
2018-08-12,0.525
2018-08-19,0.39
2018-08-26,0.295
2018-09-02,0.2
2018-09-09,0.215
2018-09-16,0.17
2018-09-23,0.13
2018-09-30,0.1
2018-10-07,0.095
2018-10-14,0.08
2018-10-21,0.09
2018-10-28,0.065
2018-11-04,0.07
2018-11-11,0.065
2018-11-18,0.075
2018-11-25,0.06
2018-12-02,0.065
2018-12-09,0.06
2018-12-16,0.055
2018-12-23,0.08
2018-12-30,0.055
2019-01-06,0.05
2019-01-13,0.055
2019-01-20,0.075
2019-01-27,0.06
2019-02-03,0.07
2019-02-10,0.095
2019-02-17,0.175
2019-02-24,0.15
2019-03-03,0.135
2019-03-10,0.165
2019-03-17,0.24
2019-03-24,0.57
2019-03-31,0.345
2019-04-07,0.29
2019-04-14,0.365
2019-04-21,0.405
2019-04-28,0.315
2019-05-05,0.33
2019-05-12,0.3
2019-05-19,0.325
2019-05-26,0.605
2019-06-02,0.615
2019-06-09,0.39
2019-06-16,0.55
2019-06-23,0.735
2019-06-30,0.59
2019-07-07,0.655
2019-07-14,0.585
2019-07-21,0.435
2019-07-28,0.51
2019-08-04,0.505
2019-08-11,0.515
2019-08-18,0.39
2019-08-25,0.355
2019-09-01,0.2
2019-09-08,0.2
2019-09-15,0.15
2019-09-22,0.1
2019-09-29,0.095
2019-10-06,0.06
2019-10-13,0.075
2019-10-20,0.055
2019-10-27,0.07
2019-11-03,0.075
2019-11-10,0.075
2019-11-17,0.08
2019-11-24,0.095
2019-12-01,0.075
2019-12-08,0.075
2019-12-15,0.055
2019-12-22,0.07
2019-12-29,0.07
2020-01-05,0.09
2020-01-12,0.065
2020-01-19,0.08
2020-01-26,0.08
2020-02-02,0.095
2020-02-09,0.085
2020-02-16,0.11
2020-02-23,0.13
2020-03-01,0.15
2020-03-08,0.135
2020-03-15,0.255
2020-03-22,0.305
2020-03-29,0.37
2020-04-05,0.78
2020-04-12,0.7
2020-04-19,0.615
2020-04-26,0.475
2020-05-03,0.66
2020-05-10,0.47
2020-05-17,1.0
