geoName,geoCode,reparation volet
Brittany,FR-E,100.0
Centre-Val de Loire,FR-F,0.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,65.21739130434783
Provence-Alpes-Côte d'Azur,FR-U,86.95652173913044
Île-de-France,FR-J,50.72463768115942
Grand-est,FR-GE,0.0
Hauts-de-france,FR-HF,18.115942028985508
Normandie,FR-NO,0.0
Bourgogne-Franche-Comté,FR-BFC,0.0
Nouvelle-Aquitaine,FR-NA,73.42995169082126
Occitanie,FR-OC,88.40579710144928
Auvergne-Rhône-Alpes,FR-AR,36.231884057971016
