geoName,geoCode,montaggio video
Abruzzo,IT-65,74
Aosta,IT-23,0
Apulia,IT-75,80
Basilicata,IT-77,52
Calabria,IT-78,62
Campania,IT-72,79
Emilia-Romagna,IT-45,81
Friuli-Venezia Giulia,IT-36,49
Lazio,IT-62,79
Liguria,IT-42,74
Lombardy,IT-25,67
Marche,IT-57,62
Molise,IT-67,58
Piedmont,IT-21,69
Sardinia,IT-88,82
Sicily,IT-82,83
Trentino-Alto Adige/South Tyrol,IT-32,37
Tuscany,IT-52,90
Umbria,IT-55,100
Veneto,IT-34,68
