date,portes,isPartial
2018-01-07,34,False
2018-01-14,45,False
2018-01-21,59,False
2018-01-28,63,False
2018-02-04,68,False
2018-02-11,86,False
2018-02-18,74,False
2018-02-25,74,False
2018-03-04,91,False
2018-03-11,66,False
2018-03-18,61,False
2018-03-25,31,False
2018-04-01,65,False
2018-04-08,72,False
2018-04-15,55,False
2018-04-22,39,False
2018-04-29,35,False
2018-05-06,31,False
2018-05-13,40,False
2018-05-20,22,False
2018-05-27,31,False
2018-06-03,29,False
2018-06-10,22,False
2018-06-17,19,False
2018-06-24,19,False
2018-07-01,28,False
2018-07-08,21,False
2018-07-15,27,False
2018-07-22,22,False
2018-07-29,14,False
2018-08-05,21,False
2018-08-12,18,False
2018-08-19,18,False
2018-08-26,29,False
2018-09-02,27,False
2018-09-09,36,False
2018-09-16,33,False
2018-09-23,32,False
2018-09-30,29,False
2018-10-07,30,False
2018-10-14,25,False
2018-10-21,24,False
2018-10-28,34,False
2018-11-04,21,False
2018-11-11,19,False
2018-11-18,32,False
2018-11-25,30,False
2018-12-02,21,False
2018-12-09,29,False
2018-12-16,17,False
2018-12-23,35,False
2018-12-30,32,False
2019-01-06,44,False
2019-01-13,44,False
2019-01-20,58,False
2019-01-27,64,False
2019-02-03,88,False
2019-02-10,79,False
2019-02-17,73,False
2019-02-24,70,False
2019-03-03,82,False
2019-03-10,89,False
2019-03-17,79,False
2019-03-24,71,False
2019-03-31,68,False
2019-04-07,60,False
2019-04-14,25,False
2019-04-21,56,False
2019-04-28,46,False
2019-05-05,34,False
2019-05-12,34,False
2019-05-19,36,False
2019-05-26,28,False
2019-06-02,31,False
2019-06-09,21,False
2019-06-16,28,False
2019-06-23,19,False
2019-06-30,24,False
2019-07-07,24,False
2019-07-14,30,False
2019-07-21,27,False
2019-07-28,25,False
2019-08-04,23,False
2019-08-11,23,False
2019-08-18,29,False
2019-08-25,21,False
2019-09-01,21,False
2019-09-08,37,False
2019-09-15,43,False
2019-09-22,43,False
2019-09-29,27,False
2019-10-06,34,False
2019-10-13,23,False
2019-10-20,20,False
2019-10-27,27,False
2019-11-03,36,False
2019-11-10,25,False
2019-11-17,33,False
2019-11-24,23,False
2019-12-01,23,False
2019-12-08,25,False
2019-12-15,23,False
2019-12-22,35,False
2019-12-29,31,False
2020-01-05,41,False
2020-01-12,47,False
2020-01-19,49,False
2020-01-26,57,False
2020-02-02,82,False
2020-02-09,65,False
2020-02-16,58,False
2020-02-23,63,False
2020-03-01,100,False
2020-03-08,61,False
2020-03-15,17,False
2020-03-22,12,False
2020-03-29,11,False
2020-04-05,11,False
2020-04-12,20,False
2020-04-19,21,False
2020-04-26,28,False
2020-05-03,29,False
2020-05-10,37,False
2020-05-17,27,True
