geoName,geoCode,portes
Andalusia,ES-AN,15
Aragon,ES-AR,13
Asturias,ES-AS,13
Balearic Islands,ES-IB,31
Basque Country,ES-PV,10
Canary Islands,ES-CN,7
Cantabria,ES-CB,18
Castile and León,ES-CL,18
Castile-La Mancha,ES-CM,12
Catalonia,ES-CT,100
Ceuta,ES-CE,0
Community of Madrid,ES-MD,18
Extremadura,ES-EX,8
Galicia,ES-GA,14
La Rioja,ES-RI,8
Melilla,ES-ML,0
Navarre,ES-NC,7
Region of Murcia,ES-MC,14
Valencian Community,ES-VC,16
