geoName,geoCode,magia
Andalusia,ES-AN,80
Aragon,ES-AR,85
Asturias,ES-AS,67
Balearic Islands,ES-IB,74
Basque Country,ES-PV,81
Canary Islands,ES-CN,68
Cantabria,ES-CB,93
Castile and León,ES-CL,86
Castile-La Mancha,ES-CM,85
Catalonia,ES-CT,86
Ceuta,ES-CE,70
Community of Madrid,ES-MD,100
Extremadura,ES-EX,68
Galicia,ES-GA,69
La Rioja,ES-RI,46
Melilla,ES-ML,55
Navarre,ES-NC,70
Region of Murcia,ES-MC,86
Valencian Community,ES-VC,90
