Year,ticket_geo_region_name,Loc_type,Distribution
2018,Alsace,mariage mer,0.0
2018,Alsace,jardin mariage,0.0
2018,Alsace,mariage palace,0.0
2018,Alsace,ferme mariage ,0.12
2018,Alsace,mariage chateau,0.49
2018,Alsace,restaurant mariage,0.38
2018,Alsace,location salle des fêtes,0.0
2018,Aquitaine,mariage mer,0.09
2018,Aquitaine,jardin mariage,0.09
2018,Aquitaine,mariage palace,0.0
2018,Aquitaine,ferme mariage ,0.11
2018,Aquitaine,mariage chateau,0.48
2018,Aquitaine,restaurant mariage,0.22
2018,Aquitaine,location salle des fêtes,0.0
2018,Auvergne,mariage mer,0.0
2018,Auvergne,jardin mariage,0.0
2018,Auvergne,mariage palace,0.0
2018,Auvergne,ferme mariage ,0.0
2018,Auvergne,mariage chateau,0.78
2018,Auvergne,restaurant mariage,0.22
2018,Auvergne,location salle des fêtes,0.0
2018,Bretagne,mariage mer,0.24
2018,Bretagne,jardin mariage,0.1
2018,Bretagne,mariage palace,0.0
2018,Bretagne,ferme mariage ,0.0
2018,Bretagne,mariage chateau,0.45
2018,Bretagne,restaurant mariage,0.21
2018,Bretagne,location salle des fêtes,0.0
2018,Bourgogne,mariage mer,0.0
2018,Bourgogne,jardin mariage,0.0
2018,Bourgogne,mariage palace,0.0
2018,Bourgogne,ferme mariage ,0.0
2018,Bourgogne,mariage chateau,0.76
2018,Bourgogne,restaurant mariage,0.24
2018,Bourgogne,location salle des fêtes,0.0
2018,Centre-Val de Loire,mariage mer,0.0
2018,Centre-Val de Loire,jardin mariage,0.0
2018,Centre-Val de Loire,mariage chateau,0.56
2018,Centre-Val de Loire,mariage palace,0.0
2018,Centre-Val de Loire,ferme mariage ,0.16
2018,Centre-Val de Loire,restaurant mariage,0.2
2018,Centre-Val de Loire,location salle des fêtes,0.08
2018,Champagne-Ardenne,mariage mer,0.0
2018,Champagne-Ardenne,jardin mariage,0.0
2018,Champagne-Ardenne,mariage palace,0.0
2018,Champagne-Ardenne,ferme mariage ,0.0
2018,Champagne-Ardenne,mariage chateau,0.7
2018,Champagne-Ardenne,restaurant mariage,0.3
2018,Champagne-Ardenne,location salle des fêtes,0.0
2018,Corse,mariage mer,0.0
2018,Corse,jardin mariage,0.0
2018,Corse,mariage chateau_x,0.0
2018,Corse,mariage palace,0.0
2018,Corse,ferme mariage ,0.0
2018,Corse,mariage chateau_y,0.0
2018,Corse,restaurant mariage,0.0
2018,Corse,location salle des fêtes,0.0
2018,France,mariage mer,0.11
2018,France,jardin mariage,0.07
2018,France,mariage palace,0.02
2018,France,ferme mariage ,0.07
2018,France,mariage chateau,0.46
2018,France,restaurant mariage,0.22
2018,France,location salle des fêtes,0.04
2018,Franche-Comté,mariage mer,0.0
2018,Franche-Comté,jardin mariage,0.0
2018,Franche-Comté,mariage palace,0.0
2018,Franche-Comté,ferme mariage ,0.0
2018,Franche-Comté,mariage chateau,0.72
2018,Franche-Comté,restaurant mariage,0.28
2018,Franche-Comté,location salle des fêtes,0.0
2018,Languedoc-Roussillon,mariage mer,0.27
2018,Languedoc-Roussillon,jardin mariage,0.0
2018,Languedoc-Roussillon,mariage palace,0.0
2018,Languedoc-Roussillon,ferme mariage ,0.0
2018,Languedoc-Roussillon,mariage chateau,0.48
2018,Languedoc-Roussillon,restaurant mariage,0.25
2018,Languedoc-Roussillon,location salle des fêtes,0.0
2018,Limousin,mariage mer,0.03
2018,Limousin,jardin mariage,0.0
2018,Limousin,mariage palace,0.0
2018,Limousin,ferme mariage ,0.0
2018,Limousin,mariage chateau,0.61
2018,Limousin,restaurant mariage,0.36
2018,Limousin,location salle des fêtes,0.0
2018,Lorraine,mariage mer,0.0
2018,Lorraine,jardin mariage,0.0
2018,Lorraine,mariage palace,0.0
2018,Lorraine,ferme mariage ,0.0
2018,Lorraine,mariage chateau,0.64
2018,Lorraine,restaurant mariage,0.36
2018,Lorraine,location salle des fêtes,0.0
2018,Basse Normandie,mariage mer,0.32
2018,Basse Normandie,jardin mariage,0.0
2018,Basse Normandie,mariage palace,0.0
2018,Basse Normandie,ferme mariage ,0.0
2018,Basse Normandie,mariage chateau,0.68
2018,Basse Normandie,restaurant mariage,0.0
2018,Basse Normandie,location salle des fêtes,0.0
2018,Midi-Pyrénées,mariage mer,0.0
2018,Midi-Pyrénées,jardin mariage,0.16
2018,Midi-Pyrénées,mariage palace,0.0
2018,Midi-Pyrénées,ferme mariage ,0.0
2018,Midi-Pyrénées,mariage chateau,0.6
2018,Midi-Pyrénées,restaurant mariage,0.24
2018,Midi-Pyrénées,location salle des fêtes,0.0
2018,Nord-Pas-de-Calais,mariage mer,0.26
2018,Nord-Pas-de-Calais,jardin mariage,0.11
2018,Nord-Pas-de-Calais,mariage palace,0.0
2018,Nord-Pas-de-Calais,ferme mariage ,0.25
2018,Nord-Pas-de-Calais,mariage chateau,0.26
2018,Nord-Pas-de-Calais,restaurant mariage,0.09
2018,Nord-Pas-de-Calais,location salle des fêtes,0.03
2018,Pays de la Loire,mariage mer,0.2
2018,Pays de la Loire,jardin mariage,0.09
2018,Pays de la Loire,mariage palace,0.0
2018,Pays de la Loire,ferme mariage ,0.0
2018,Pays de la Loire,mariage chateau,0.47
2018,Pays de la Loire,restaurant mariage,0.24
2018,Pays de la Loire,location salle des fêtes,0.0
2018,Picardie,mariage mer,0.0
2018,Picardie,jardin mariage,0.0
2018,Picardie,mariage palace,0.0
2018,Picardie,ferme mariage ,0.0
2018,Picardie,mariage chateau,0.67
2018,Picardie,restaurant mariage,0.33
2018,Picardie,location salle des fêtes,0.0
2018,Poitou-Charentes,mariage mer,0.0
2018,Poitou-Charentes,jardin mariage,0.0
2018,Poitou-Charentes,mariage palace,0.0
2018,Poitou-Charentes,ferme mariage ,0.0
2018,Poitou-Charentes,mariage chateau,0.7
2018,Poitou-Charentes,restaurant mariage,0.3
2018,Poitou-Charentes,location salle des fêtes,0.0
2018,Provence-Alpes-Côte d'Azur,mariage mer,0.26
2018,Provence-Alpes-Côte d'Azur,jardin mariage,0.1
2018,Provence-Alpes-Côte d'Azur,mariage palace,0.0
2018,Provence-Alpes-Côte d'Azur,ferme mariage ,0.0
2018,Provence-Alpes-Côte d'Azur,mariage chateau,0.41
2018,Provence-Alpes-Côte d'Azur,restaurant mariage,0.23
2018,Provence-Alpes-Côte d'Azur,location salle des fêtes,0.0
2018,Rhône-Alpes,mariage mer,0.05
2018,Rhône-Alpes,jardin mariage,0.07
2018,Rhône-Alpes,mariage palace,0.0
2018,Rhône-Alpes,ferme mariage ,0.07
2018,Rhône-Alpes,mariage chateau,0.47
2018,Rhône-Alpes,restaurant mariage,0.26
2018,Rhône-Alpes,location salle des fêtes,0.08
2018,Rhône-Alpes,mariage mer,0.0
2018,Rhône-Alpes,jardin mariage,0.0
2018,Rhône-Alpes,mariage palace,0.0
2018,Rhône-Alpes,ferme mariage ,0.0
2018,Rhône-Alpes,mariage chateau,0.71
2018,Rhône-Alpes,restaurant mariage,0.29
2018,Rhône-Alpes,location salle des fêtes,0.0
2018,Île-de-France,mariage mer,0.08
2018,Île-de-France,jardin mariage,0.09
2018,Île-de-France,mariage palace,0.04
2018,Île-de-France,ferme mariage ,0.11
2018,Île-de-France,mariage chateau,0.44
2018,Île-de-France,restaurant mariage,0.21
2018,Île-de-France,location salle des fêtes,0.02
2019,Alsace,mariage mer,0.0
2019,Alsace,jardin mariage,0.0
2019,Alsace,mariage palace,0.0
2019,Alsace,ferme mariage ,0.17
2019,Alsace,mariage chateau,0.5
2019,Alsace,restaurant mariage,0.33
2019,Alsace,location salle des fêtes,0.0
2019,Aquitaine,mariage mer,0.11
2019,Aquitaine,jardin mariage,0.08
2019,Aquitaine,mariage palace,0.0
2019,Aquitaine,ferme mariage ,0.12
2019,Aquitaine,mariage chateau,0.46
2019,Aquitaine,restaurant mariage,0.22
2019,Aquitaine,location salle des fêtes,0.0
2019,Auvergne,mariage mer,0.0
2019,Auvergne,jardin mariage,0.0
2019,Auvergne,mariage palace,0.0
2019,Auvergne,ferme mariage ,0.0
2019,Auvergne,mariage chateau,0.67
2019,Auvergne,restaurant mariage,0.33
2019,Auvergne,location salle des fêtes,0.0
2019,Bretagne,mariage mer,0.23
2019,Bretagne,jardin mariage,0.12
2019,Bretagne,mariage palace,0.0
2019,Bretagne,ferme mariage ,0.0
2019,Bretagne,mariage chateau,0.43
2019,Bretagne,restaurant mariage,0.21
2019,Bretagne,location salle des fêtes,0.0
2019,Bourgogne,mariage mer,0.0
2019,Bourgogne,jardin mariage,0.0
2019,Bourgogne,mariage palace,0.0
2019,Bourgogne,ferme mariage ,0.0
2019,Bourgogne,mariage chateau,0.8
2019,Bourgogne,restaurant mariage,0.2
2019,Bourgogne,location salle des fêtes,0.0
