Year,ticket_geo_region_name,Food_type,Distribution
2018,Alsace,mariage traiteur,0.54
2018,Alsace,vegan mariage ,0.0
2018,Alsace,poisson mariage ,0.0
2018,Alsace,buffet mariage,0.0
2018,Alsace,gateau mariage,0.46
2018,Alsace,mariage champagne,0.0
2018,Alsace,viande mariage ,0.0
2018,Alsace,mariage cocktail,0.0
2018,Aquitaine,vegan mariage ,0.0
2018,Aquitaine,gateau mariage,0.43
2018,Aquitaine,poisson mariage ,0.0
2018,Aquitaine,buffet mariage,0.18
2018,Aquitaine,mariage traiteur,0.19
2018,Aquitaine,mariage champagne,0.0
2018,Aquitaine,viande mariage ,0.0
2018,Aquitaine,mariage cocktail,0.2
2018,Auvergne,vegan mariage ,0.0
2018,Auvergne,gateau mariage,0.4
2018,Auvergne,poisson mariage ,0.0
2018,Auvergne,buffet mariage,0.0
2018,Auvergne,mariage traiteur,0.6
2018,Auvergne,mariage champagne,0.0
2018,Auvergne,viande mariage ,0.0
2018,Auvergne,mariage cocktail,0.0
2018,Bretagne,vegan mariage ,0.0
2018,Bretagne,gateau mariage,0.28
2018,Bretagne,poisson mariage ,0.0
2018,Bretagne,buffet mariage,0.0
2018,Bretagne,mariage traiteur,0.42
2018,Bretagne,mariage champagne,0.0
2018,Bretagne,viande mariage ,0.0
2018,Bretagne,mariage cocktail,0.3
2018,Bourgogne,mariage traiteur,0.56
2018,Bourgogne,vegan mariage ,0.0
2018,Bourgogne,poisson mariage ,0.0
2018,Bourgogne,buffet mariage,0.0
2018,Bourgogne,gateau mariage,0.44
2018,Bourgogne,mariage champagne,0.0
2018,Bourgogne,viande mariage ,0.0
2018,Bourgogne,mariage cocktail,0.0
2018,Centre-Val de Loire,vegan mariage ,0.0
2018,Centre-Val de Loire,gateau mariage,0.47
2018,Centre-Val de Loire,poisson mariage ,0.0
2018,Centre-Val de Loire,buffet mariage,0.0
2018,Centre-Val de Loire,mariage traiteur,0.25
2018,Centre-Val de Loire,mariage champagne,0.0
2018,Centre-Val de Loire,viande mariage ,0.0
2018,Centre-Val de Loire,mariage cocktail,0.28
2018,Champagne-Ardenne,mariage traiteur,0.1
2018,Champagne-Ardenne,vegan mariage ,0.0
2018,Champagne-Ardenne,poisson mariage ,0.0
2018,Champagne-Ardenne,buffet mariage,0.0
2018,Champagne-Ardenne,gateau mariage,0.36
2018,Champagne-Ardenne,mariage champagne,0.55
2018,Champagne-Ardenne,viande mariage ,0.0
2018,Champagne-Ardenne,mariage cocktail,0.0
2018,Corse,mariage traiteur,0.0
2018,Corse,vegan mariage ,0.0
2018,Corse,gateau mariage_x,0.0
2018,Corse,poisson mariage ,0.0
2018,Corse,buffet mariage,0.0
2018,Corse,gateau mariage_y,0.0
2018,Corse,mariage champagne,0.0
2018,Corse,viande mariage ,0.0
2018,Corse,mariage cocktail,0.0
2018,France,mariage traiteur,0.3
2018,France,vegan mariage ,0.01
2018,France,poisson mariage ,0.02
2018,France,buffet mariage,0.07
2018,France,gateau mariage,0.28
2018,France,mariage champagne,0.09
2018,France,viande mariage ,0.02
2018,France,mariage cocktail,0.22
2018,Franche-Comté,mariage traiteur,0.49
2018,Franche-Comté,vegan mariage ,0.0
2018,Franche-Comté,poisson mariage ,0.0
2018,Franche-Comté,buffet mariage,0.0
2018,Franche-Comté,gateau mariage,0.51
2018,Franche-Comté,mariage champagne,0.0
2018,Franche-Comté,viande mariage ,0.0
2018,Franche-Comté,mariage cocktail,0.0
2018,Languedoc-Roussillon,mariage traiteur,0.4
2018,Languedoc-Roussillon,vegan mariage ,0.0
2018,Languedoc-Roussillon,poisson mariage ,0.0
2018,Languedoc-Roussillon,buffet mariage,0.0
2018,Languedoc-Roussillon,gateau mariage,0.35
