Year,ticket_geo_region_name,Style_type,Distribution
2018,Alsace,mariage nature ,0.0
2018,Alsace,mariage romantique ,0.0
2018,Alsace,mariage original ,0.32
2018,Alsace,mariage traditionnel ,0.0
2018,Alsace,mariage chic ,0.27
2018,Alsace,mariage élégant ,0.0
2018,Alsace,mariage bohème ,0.0
2018,Alsace,mariage champêtre ,0.0
2018,Alsace,mariage glamour ,0.0
2018,Alsace,mariage vintage,0.14
2018,Alsace,mariage plage ,0.0
2018,Aquitaine,mariage nature ,0.05
2018,Aquitaine,mariage romantique ,0.05
2018,Aquitaine,mariage original ,0.23
2018,Aquitaine,mariage traditionnel ,0.0
2018,Aquitaine,mariage chic ,0.11
2018,Aquitaine,mariage élégant ,0.0
2018,Aquitaine,mariage bohème ,0.07
2018,Aquitaine,mariage champêtre ,0.05
2018,Aquitaine,mariage glamour ,0.0
2018,Aquitaine,mariage vintage,0.04
2018,Aquitaine,mariage plage ,0.05
2018,Auvergne,mariage nature ,0.0
2018,Auvergne,mariage romantique ,0.0
2018,Auvergne,mariage original ,0.32
2018,Auvergne,mariage traditionnel ,0.0
2018,Auvergne,mariage chic ,0.34
2018,Auvergne,mariage élégant ,0.0
2018,Auvergne,mariage bohème ,0.0
2018,Auvergne,mariage champêtre ,0.0
2018,Auvergne,mariage glamour ,0.0
2018,Auvergne,mariage vintage,0.0
2018,Auvergne,mariage plage ,0.0
2018,Bretagne,mariage nature ,0.06
2018,Bretagne,mariage romantique ,0.0
2018,Bretagne,mariage original ,0.19
2018,Bretagne,mariage traditionnel ,0.0
2018,Bretagne,mariage chic ,0.26
2018,Bretagne,mariage élégant ,0.0
2018,Bretagne,mariage bohème ,0.05
2018,Bretagne,mariage champêtre ,0.04
2018,Bretagne,mariage glamour ,0.0
2018,Bretagne,mariage vintage,0.09
2018,Bretagne,mariage plage ,0.05
2018,Bourgogne,mariage nature ,0.0
2018,Bourgogne,mariage romantique ,0.0
2018,Bourgogne,mariage original ,0.24
2018,Bourgogne,mariage traditionnel ,0.0
2018,Bourgogne,mariage chic ,0.38
2018,Bourgogne,mariage élégant ,0.0
2018,Bourgogne,mariage bohème ,0.0
2018,Bourgogne,mariage champêtre ,0.0
2018,Bourgogne,mariage glamour ,0.0
2018,Bourgogne,mariage vintage,0.0
2018,Bourgogne,mariage plage ,0.0
2018,Centre-Val de Loire,mariage nature ,0.0
2018,Centre-Val de Loire,mariage romantique ,0.0
2018,Centre-Val de Loire,mariage original ,0.19
2018,Centre-Val de Loire,mariage traditionnel ,0.0
2018,Centre-Val de Loire,mariage chic ,0.24
2018,Centre-Val de Loire,mariage élégant ,0.0
2018,Centre-Val de Loire,mariage bohème ,0.07
2018,Centre-Val de Loire,mariage champêtre ,0.11
2018,Centre-Val de Loire,mariage glamour ,0.0
2018,Centre-Val de Loire,mariage vintage,0.06
2018,Centre-Val de Loire,mariage plage ,0.0
2018,Champagne-Ardenne,mariage nature ,0.0
2018,Champagne-Ardenne,mariage romantique ,0.0
2018,Champagne-Ardenne,mariage original ,0.31
2018,Champagne-Ardenne,mariage traditionnel ,0.0
2018,Champagne-Ardenne,mariage chic ,0.4
2018,Champagne-Ardenne,mariage élégant ,0.0
2018,Champagne-Ardenne,mariage bohème ,0.0
2018,Champagne-Ardenne,mariage champêtre ,0.0
2018,Champagne-Ardenne,mariage glamour ,0.0
2018,Champagne-Ardenne,mariage vintage,0.0
2018,Champagne-Ardenne,mariage plage ,0.0
2018,Corse,mariage chic _x,0.0
2018,Corse,mariage nature ,0.0
2018,Corse,mariage romantique ,0.0
2018,Corse,mariage original ,0.0
2018,Corse,mariage traditionnel ,0.0
2018,Corse,mariage chic _y,0.0
2018,Corse,mariage élégant ,0.0
2018,Corse,mariage bohème ,0.0
2018,Corse,mariage champêtre ,0.0
2018,Corse,mariage glamour ,0.0
2018,Corse,mariage chic ,0.0
2018,Corse,mariage vintage,0.0
2018,Corse,mariage plage ,0.0
2018,France,mariage nature ,0.04
2018,France,mariage romantique ,0.05
2018,France,mariage original ,0.18
2018,France,mariage traditionnel ,0.02
2018,France,mariage chic ,0.25
2018,France,mariage élégant ,0.0
2018,France,mariage bohème ,0.04
