ticket_geo_region_name,ticket_taxonomy_tag_name,year,Rank,Max,Min,Demand_factor_max_to_min
Alsace,Maquillage,2018,1,10,5,4.32
Alsace,Fleuriste,2018,2,5,1,2.57
Alsace,costume mariage,2018,3,1,3,2.67
Alsace,Wedding planner,2018,4,10,7,3.75
Alsace,bouquet mariage,2018,5,3,10,1.0
Aquitaine,Maquillage,2018,1,10,9,4.33
Aquitaine,Fleuriste,2018,2,5,11,2.0
Aquitaine,costume mariage,2018,3,2,3,2.0
Aquitaine,Wedding planner,2018,4,9,10,1.0
Aquitaine,bouquet mariage,2018,5,8,1,0.75
Auvergne,Maquillage,2018,1,10,9,4.18
Auvergne,Fleuriste,2018,2,5,1,2.41
Auvergne,costume mariage,2018,3,4,9,3.56
Auvergne,bouquet mariage,2018,4,8,10,1.5
Auvergne,Wedding planner,2018,5,1,5,1.25
Bretagne,Maquillage,2018,1,10,1,4.44
Bretagne,Fleuriste,2018,2,5,4,1.99
Bretagne,costume mariage,2018,3,2,6,1.71
Bretagne,Wedding planner,2018,4,1,3,2.5
Bretagne,bouquet mariage,2018,5,2,7,5.0
Bourgogne,Maquillage,2018,1,10,6,4.85
Bourgogne,Fleuriste,2018,2,5,7,2.44
Bourgogne,costume mariage,2018,3,5,12,4.69
Bourgogne,Wedding planner,2018,4,2,10,1.25
Bourgogne,bouquet mariage,2018,5,4,1,1.0
Centre-Val de Loire,Maquillage,2018,1,10,7,4.97
Centre-Val de Loire,Fleuriste,2018,2,2,1,1.76
Centre-Val de Loire,costume mariage,2018,3,1,11,2.6
Centre-Val de Loire,Wedding planner,2018,4,5,3,4.0
Centre-Val de Loire,bouquet mariage,2018,5,1,12,2.5
Champagne-Ardenne,Maquillage,2018,1,10,6,4.67
Champagne-Ardenne,Fleuriste,2018,2,5,11,2.0
Champagne-Ardenne,costume mariage,2018,3,1,11,5.71
Champagne-Ardenne,Wedding planner,2018,4,10,4,6.25
Champagne-Ardenne,bouquet mariage,2018,5,3,1,0.75
Corse,Maquillage,2018,1,10,7,4.2
Corse,costume mariage,2018,2,1,11,12.16
Corse,Fleuriste,2018,3,2,3,2.05
Corse,Wedding planner,2018,4,2,1,3.0
Corse,Maquillage de mariée,2018,5,1,1,0.0
France,Maquillage,2018,1,10,7,4.08
France,Fleuriste,2018,2,5,1,1.84
France,costume mariage,2018,3,5,12,2.16
France,Wedding planner,2018,4,2,3,0.5
France,organisateur de mariage,2018,5,4,1,0.12
Franche-Comté,Maquillage,2018,1,10,7,4.59
Franche-Comté,Fleuriste,2018,2,5,6,1.94
Franche-Comté,costume mariage,2018,3,5,12,7.12
Franche-Comté,Wedding planner,2018,4,2,8,1.0
Franche-Comté,Cérémonies,2018,5,1,4,0.5
Languedoc-Roussillon,Maquillage,2018,1,10,8,4.14
Languedoc-Roussillon,Fleuriste,2018,2,5,11,2.21
Languedoc-Roussillon,costume mariage,2018,3,4,11,3.89
Languedoc-Roussillon,Wedding planner,2018,4,10,8,4.0
Languedoc-Roussillon,bouquet mariage,2018,5,9,1,1.0
Limousin,Maquillage,2018,1,10,8,3.86
Limousin,Fleuriste,2018,2,5,9,2.12
Limousin,costume mariage,2018,3,6,10,9.11
Limousin,organisateur de mariage,2018,4,8,1,4.48
Limousin,Wedding planner,2018,5,2,5,3.5
Lorraine,Maquillage,2018,1,10,4,5.68
Lorraine,Fleuriste,2018,2,5,7,2.3
Lorraine,costume mariage,2018,3,2,12,3.44
Lorraine,bouquet mariage,2018,4,8,1,5.0
Lorraine,Wedding planner,2018,5,5,7,2.5
Basse Normandie,Maquillage,2018,1,10,8,6.71
Basse Normandie,Fleuriste,2018,2,12,6,1.6
Basse Normandie,costume mariage,2018,3,3,12,3.33
Basse Normandie,Wedding planner,2018,4,1,5,4.0
Basse Normandie,Cérémonies,2018,5,1,2,0.5
Midi-Pyrénées,Maquillage,2018,1,10,6,4.22
Midi-Pyrénées,Fleuriste,2018,2,5,1,1.92
Midi-Pyrénées,costume mariage,2018,3,7,12,3.56
Midi-Pyrénées,Wedding planner,2018,4,8,3,1.67
Midi-Pyrénées,bouquet mariage,2018,5,5,11,1.25
Nord-Pas-de-Calais,Maquillage,2018,1,10,7,5.38
Nord-Pas-de-Calais,Fleuriste,2018,2,5,1,1.82
Nord-Pas-de-Calais,costume mariage,2018,3,1,12,2.32
Nord-Pas-de-Calais,Wedding planner,2018,4,9,2,0.6
Nord-Pas-de-Calais,bouquet mariage,2018,5,2,5,0.5
Pays de la Loire,Maquillage,2018,1,10,7,4.35
Pays de la Loire,Fleuriste,2018,2,5,1,2.07
Pays de la Loire,costume mariage,2018,3,1,9,1.72
Pays de la Loire,Wedding planner,2018,4,1,12,2.5
Pays de la Loire,bouquet mariage,2018,5,3,11,1.0
Picardie,Maquillage,2018,1,10,5,5.21
Picardie,Fleuriste,2018,2,5,1,2.14
Picardie,costume mariage,2018,3,3,9,1.65
Picardie,Wedding planner,2018,4,9,6,3.2
Picardie,bouquet mariage,2018,5,4,9,0.8
Poitou-Charentes,Maquillage,2018,1,10,8,4.29
Poitou-Charentes,Fleuriste,2018,2,5,1,1.86
