Year,ticket_geo_region_name,Spend_type,Distribution
2018,Alsace,mariage cher,0.51
2018,Alsace,mariage luxe,0.0
2018,Alsace,mariage pas cher ,0.49
2018,Aquitaine,mariage cher,0.48
2018,Aquitaine,mariage luxe,0.06
2018,Aquitaine,mariage pas cher ,0.46
2018,Auvergne,mariage cher,0.51
2018,Auvergne,mariage luxe,0.0
2018,Auvergne,mariage pas cher ,0.49
2018,Bretagne,mariage cher,0.51
2018,Bretagne,mariage luxe,0.0
2018,Bretagne,mariage pas cher ,0.49
2018,Bourgogne,mariage cher,0.51
2018,Bourgogne,mariage luxe,0.0
2018,Bourgogne,mariage pas cher ,0.49
2018,Centre-Val de Loire,mariage cher,0.55
2018,Centre-Val de Loire,mariage luxe,0.0
2018,Centre-Val de Loire,mariage pas cher ,0.45
2018,Champagne-Ardenne,mariage cher,0.5
2018,Champagne-Ardenne,mariage luxe,0.0
2018,Champagne-Ardenne,mariage pas cher ,0.5
2018,Corse,mariage cher,0.0
2018,Corse,mariage luxe,0.0
2018,Corse,mariage pas cher ,0.0
2018,France,mariage cher,0.48
2018,France,mariage luxe,0.06
2018,France,mariage pas cher ,0.46
2018,Franche-Comté,mariage cher,0.51
2018,Franche-Comté,mariage luxe,0.0
2018,Franche-Comté,mariage pas cher ,0.49
2018,Languedoc-Roussillon,mariage cher,0.46
2018,Languedoc-Roussillon,mariage luxe,0.09
2018,Languedoc-Roussillon,mariage pas cher ,0.45
2018,Limousin,mariage cher,0.49
2018,Limousin,mariage luxe,0.03
2018,Limousin,mariage pas cher ,0.48
2018,Lorraine,mariage cher,0.51
2018,Lorraine,mariage luxe,0.0
2018,Lorraine,mariage pas cher ,0.49
2018,Basse Normandie,mariage cher,0.51
2018,Basse Normandie,mariage luxe,0.0
2018,Basse Normandie,mariage pas cher ,0.49
2018,Midi-Pyrénées,mariage cher,0.51
2018,Midi-Pyrénées,mariage luxe,0.0
2018,Midi-Pyrénées,mariage pas cher ,0.49
2018,Nord-Pas-de-Calais,mariage cher,0.48
2018,Nord-Pas-de-Calais,mariage luxe,0.06
2018,Nord-Pas-de-Calais,mariage pas cher ,0.46
2018,Pays de la Loire,mariage cher,0.5
2018,Pays de la Loire,mariage luxe,0.0
2018,Pays de la Loire,mariage pas cher ,0.5
2018,Picardie,mariage cher,0.51
2018,Picardie,mariage luxe,0.0
2018,Picardie,mariage pas cher ,0.49
2018,Poitou-Charentes,mariage cher,0.51
2018,Poitou-Charentes,mariage luxe,0.0
2018,Poitou-Charentes,mariage pas cher ,0.49
2018,Provence-Alpes-Côte d'Azur,mariage cher,0.46
2018,Provence-Alpes-Côte d'Azur,mariage luxe,0.1
2018,Provence-Alpes-Côte d'Azur,mariage pas cher ,0.44
2018,Rhône-Alpes,mariage cher,0.47
2018,Rhône-Alpes,mariage luxe,0.09
2018,Rhône-Alpes,mariage pas cher ,0.45
2018,Rhône-Alpes,mariage cher,0.5
2018,Rhône-Alpes,mariage luxe,0.0
2018,Rhône-Alpes,mariage pas cher ,0.5
2018,Île-de-France,mariage cher,0.48
2018,Île-de-France,mariage luxe,0.07
2018,Île-de-France,mariage pas cher ,0.45
2019,Alsace,mariage cher,0.51
2019,Alsace,mariage luxe,0.0
2019,Alsace,mariage pas cher ,0.49
2019,Aquitaine,mariage cher,0.45
2019,Aquitaine,mariage luxe,0.11
2019,Aquitaine,mariage pas cher ,0.44
