ticket_taxonomy_tag_name,ticket_geo_region_name,Year,Month,No_of_tickets,Index,Country_chosen
Couturier pour robe de mariée,Alsace,2018,0,27.24,0.27,0
Couturier pour robe de mariée,Alsace,2018,1,22.08,0.22,0
Couturier pour robe de mariée,Alsace,2018,2,29.52,0.3,0
Couturier pour robe de mariée,Alsace,2018,3,18.43,0.18,0
Couturier pour robe de mariée,Alsace,2018,4,21.6,0.22,0
Couturier pour robe de mariée,Alsace,2018,5,20.88,0.21,0
Couturier pour robe de mariée,Alsace,2018,6,21.31,0.21,0
Couturier pour robe de mariée,Alsace,2018,7,21.48,0.21,0
Couturier pour robe de mariée,Alsace,2018,8,17.57,0.18,0
Couturier pour robe de mariée,Alsace,2018,9,26.04,0.26,0
Couturier pour robe de mariée,Alsace,2018,10,20.16,0.2,0
Couturier pour robe de mariée,Alsace,2018,11,17.57,0.18,0
Couturier pour robe de mariée,Alsace,2019,0,16.32,0.16,0
Couturier pour robe de mariée,Alsace,2019,1,28.56,0.29,0
Couturier pour robe de mariée,Alsace,2019,2,22.46,0.22,0
Couturier pour robe de mariée,Alsace,2019,3,29.04,0.29,0
Couturier pour robe de mariée,Alsace,2019,4,25.08,0.25,0
Couturier pour robe de mariée,Alsace,2019,5,20.06,0.2,0
Couturier pour robe de mariée,Alsace,2019,6,18.6,0.19,0
Couturier pour robe de mariée,Alsace,2019,7,18.0,0.18,0
Couturier pour robe de mariée,Alsace,2019,8,24.77,0.25,0
Couturier pour robe de mariée,Alsace,2019,9,28.56,0.29,0
Couturier pour robe de mariée,Alsace,2019,10,19.56,0.2,0
Couturier pour robe de mariée,Alsace,2019,11,16.9,0.17,0
Couturier pour robe de mariée,Alsace,2020,0,30.48,0.3,0
Couturier pour robe de mariée,Alsace,2020,1,30.48,0.3,0
Couturier pour robe de mariée,Alsace,2020,2,15.74,0.16,0
Couturier pour robe de mariée,Alsace,2020,3,12.0,0.12,0
Couturier pour robe de mariée,Aquitaine,2018,0,29.49,0.29,0
Couturier pour robe de mariée,Aquitaine,2018,1,33.25,0.33,0
Couturier pour robe de mariée,Aquitaine,2018,2,26.44,0.26,0
Couturier pour robe de mariée,Aquitaine,2018,3,33.37,0.33,0
Couturier pour robe de mariée,Aquitaine,2018,4,33.02,0.33,0
Couturier pour robe de mariée,Aquitaine,2018,5,24.56,0.25,0
Couturier pour robe de mariée,Aquitaine,2018,6,22.94,0.23,0
Couturier pour robe de mariée,Aquitaine,2018,7,28.67,0.29,0
Couturier pour robe de mariée,Aquitaine,2018,8,29.99,0.3,0
Couturier pour robe de mariée,Aquitaine,2018,9,31.72,0.32,0
Couturier pour robe de mariée,Aquitaine,2018,10,22.8,0.23,0
Couturier pour robe de mariée,Aquitaine,2018,11,27.64,0.28,0
Couturier pour robe de mariée,Aquitaine,2019,0,25.85,0.26,0
Couturier pour robe de mariée,Aquitaine,2019,1,28.2,0.28,0
Couturier pour robe de mariée,Aquitaine,2019,2,28.58,0.29,0
Couturier pour robe de mariée,Aquitaine,2019,3,32.66,0.33,0
Couturier pour robe de mariée,Aquitaine,2019,4,36.54,0.37,0
Couturier pour robe de mariée,Aquitaine,2019,5,30.17,0.3,0
Couturier pour robe de mariée,Aquitaine,2019,6,25.5,0.25,0
Couturier pour robe de mariée,Aquitaine,2019,7,23.38,0.23,0
Couturier pour robe de mariée,Aquitaine,2019,8,27.45,0.27,0
Couturier pour robe de mariée,Aquitaine,2019,9,24.56,0.25,0
Couturier pour robe de mariée,Aquitaine,2019,10,25.62,0.26,0
Couturier pour robe de mariée,Aquitaine,2019,11,24.16,0.24,0
Couturier pour robe de mariée,Aquitaine,2020,0,30.55,0.31,0
Couturier pour robe de mariée,Aquitaine,2020,1,31.02,0.31,0
Couturier pour robe de mariée,Aquitaine,2020,2,21.43,0.21,0
Couturier pour robe de mariée,Aquitaine,2020,3,17.39,0.17,0
Couturier pour robe de mariée,Auvergne,2018,0,23.35,0.23,0
Couturier pour robe de mariée,Auvergne,2018,1,20.13,0.2,0
Couturier pour robe de mariée,Auvergne,2018,2,20.96,0.21,0
Couturier pour robe de mariée,Auvergne,2018,3,9.77,0.1,0
Couturier pour robe de mariée,Auvergne,2018,4,15.68,0.16,0
Couturier pour robe de mariée,Auvergne,2018,5,18.15,0.18,0
Couturier pour robe de mariée,Auvergne,2018,6,13.33,0.13,0
Couturier pour robe de mariée,Auvergne,2018,7,14.52,0.15,0
Couturier pour robe de mariée,Auvergne,2018,8,13.86,0.14,0
Couturier pour robe de mariée,Auvergne,2018,9,11.8,0.12,0
Couturier pour robe de mariée,Auvergne,2018,10,14.68,0.15,0
Couturier pour robe de mariée,Auvergne,2018,11,12.14,0.12,0
Couturier pour robe de mariée,Auvergne,2019,0,12.71,0.13,0
Couturier pour robe de mariée,Auvergne,2019,1,12.54,0.13,0
Couturier pour robe de mariée,Auvergne,2019,2,17.23,0.17,0
Couturier pour robe de mariée,Auvergne,2019,3,9.16,0.09,0
Couturier pour robe de mariée,Auvergne,2019,4,19.06,0.19,0
Couturier pour robe de mariée,Auvergne,2019,5,16.96,0.17,0
Couturier pour robe de mariée,Auvergne,2019,6,14.85,0.15,0
Couturier pour robe de mariée,Auvergne,2019,7,16.34,0.16,0
Couturier pour robe de mariée,Auvergne,2019,8,13.73,0.14,0
Couturier pour robe de mariée,Auvergne,2019,9,8.0,0.08,0
Couturier pour robe de mariée,Auvergne,2019,10,12.38,0.12,0
Couturier pour robe de mariée,Auvergne,2019,11,14.52,0.15,0
Couturier pour robe de mariée,Auvergne,2020,0,13.36,0.13,0
Couturier pour robe de mariée,Auvergne,2020,1,14.36,0.14,0
Couturier pour robe de mariée,Auvergne,2020,2,9.57,0.1,0
Couturier pour robe de mariée,Auvergne,2020,3,7.1,0.07,0
Couturier pour robe de mariée,Brittany,2018,0,21.0,0.21,0
Couturier pour robe de mariée,Brittany,2018,1,22.76,0.23,0
Couturier pour robe de mariée,Brittany,2018,2,21.46,0.21,0
Couturier pour robe de mariée,Brittany,2018,3,21.02,0.21,0
Couturier pour robe de mariée,Brittany,2018,4,23.68,0.24,0
Couturier pour robe de mariée,Brittany,2018,5,22.2,0.22,0
Couturier pour robe de mariée,Brittany,2018,6,23.16,0.23,0
Couturier pour robe de mariée,Brittany,2018,7,14.24,0.14,0
Couturier pour robe de mariée,Brittany,2018,8,19.24,0.19,0
Couturier pour robe de mariée,Brittany,2018,9,15.72,0.16,0
Couturier pour robe de mariée,Brittany,2018,10,16.28,0.16,0
Couturier pour robe de mariée,Brittany,2018,11,14.65,0.15,0
Couturier pour robe de mariée,Brittany,2019,0,20.81,0.21,0
Couturier pour robe de mariée,Brittany,2019,1,21.0,0.21,0
Couturier pour robe de mariée,Brittany,2019,2,19.68,0.2,0
Couturier pour robe de mariée,Brittany,2019,3,18.69,0.19,0
Couturier pour robe de mariée,Brittany,2019,4,22.2,0.22,0
Couturier pour robe de mariée,Brittany,2019,5,22.94,0.23,0
Couturier pour robe de mariée,Brittany,2019,6,18.31,0.18,0
Couturier pour robe de mariée,Brittany,2019,7,13.78,0.14,0
