geoName,geoCode,sarta
Abruzzo,IT-65,39
Aosta,IT-23,0
Apulia,IT-75,81
Basilicata,IT-77,0
Calabria,IT-78,39
Campania,IT-72,54
Emilia-Romagna,IT-45,76
Friuli-Venezia Giulia,IT-36,67
Lazio,IT-62,99
Liguria,IT-42,95
Lombardy,IT-25,83
Marche,IT-57,85
Molise,IT-67,0
Piedmont,IT-21,91
Sardinia,IT-88,100
Sicily,IT-82,73
Trentino-Alto Adige/South Tyrol,IT-32,76
Tuscany,IT-52,81
Umbria,IT-55,57
Veneto,IT-34,77
