geoName,geoCode,Gartenarbeit
Burgenland,AT-1,0
Carinthia,AT-2,70
Lower Austria,AT-3,73
Salzburg,AT-5,100
Styria,AT-6,66
Tyrol,AT-7,40
Upper Austria,AT-4,39
Vienna,AT-9,32
Vorarlberg,AT-8,60
