geoName,geoCode,Cours de cuisine
Brittany,FR-E,46.15384615384615
Centre-Val de Loire,FR-F,44.37869822485207
Corsica,FR-H,72.78106508875739
Pays de la Loire,FR-R,78.10650887573965
Provence-Alpes-Côte d'Azur,FR-U,47.928994082840234
Île-de-France,FR-J,88.75739644970415
Grand-est,FR-GE,40.828402366863905
Hauts-de-france,FR-HF,38.16568047337278
Normandie,FR-NO,36.390532544378694
Bourgogne-Franche-Comté,FR-BFC,61.24260355029586
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,47.04142011834319
Auvergne-Rhône-Alpes,FR-AR,68.34319526627219
