,geoName,piscine en acier
3,Brittany,26.5625
5,Centre-Val de Loire,65.625
7,Corsica,0.0
15,Pays de la Loire,57.8125
18,Provence-Alpes-Côte d'Azur,29.6875
21,Île-de-France,14.0625
22,Grand-est,59.375
23,Hauts-de-france,27.34375
24,Normandie,14.84375
25,Bourgogne-Franche-Comté,89.84375
26,Nouvelle-Aquitaine,85.9375
27,Occitanie,48.4375
28,Auvergne-Rhône-Alpes,100.0
