geoName,geoCode,Malerfirma
Baden-Württemberg,DE-BW,12
Bavaria,DE-BY,23
Berlin,DE-BE,38
Brandenburg,DE-BB,73
Bremen,DE-HB,0
Hamburg,DE-HH,18
Hesse,DE-HE,33
Lower Saxony,DE-NI,18
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,13
Rhineland-Palatinate,DE-RP,21
Saarland,DE-SL,0
Saxony,DE-SN,91
Saxony-Anhalt,DE-ST,98
Schleswig-Holstein,DE-SH,29
Thuringia,DE-TH,49
