date,Fassade streichen,isPartial
2018-01-07,27,False
2018-01-14,20,False
2018-01-21,44,False
2018-01-28,40,False
2018-02-04,21,False
2018-02-11,41,False
2018-02-18,38,False
2018-02-25,34,False
2018-03-04,48,False
2018-03-11,54,False
2018-03-18,58,False
2018-03-25,58,False
2018-04-01,44,False
2018-04-08,84,False
2018-04-15,100,False
2018-04-22,69,False
2018-04-29,68,False
2018-05-06,76,False
2018-05-13,55,False
2018-05-20,62,False
2018-05-27,53,False
2018-06-03,66,False
2018-06-10,53,False
2018-06-17,67,False
2018-06-24,38,False
2018-07-01,27,False
2018-07-08,61,False
2018-07-15,57,False
2018-07-22,53,False
2018-07-29,43,False
2018-08-05,63,False
2018-08-12,60,False
2018-08-19,32,False
2018-08-26,53,False
2018-09-02,52,False
2018-09-09,31,False
2018-09-16,65,False
2018-09-23,55,False
2018-09-30,38,False
2018-10-07,67,False
2018-10-14,48,False
2018-10-21,30,False
2018-10-28,37,False
2018-11-04,26,False
2018-11-11,70,False
2018-11-18,23,False
2018-11-25,26,False
2018-12-02,25,False
2018-12-09,23,False
2018-12-16,31,False
2018-12-23,19,False
2018-12-30,53,False
2019-01-06,29,False
2019-01-13,47,False
2019-01-20,19,False
2019-01-27,22,False
2019-02-03,25,False
2019-02-10,55,False
2019-02-17,61,False
2019-02-24,33,False
2019-03-03,29,False
2019-03-10,38,False
2019-03-17,85,False
2019-03-24,39,False
2019-03-31,85,False
2019-04-07,52,False
2019-04-14,64,False
2019-04-21,76,False
2019-04-28,83,False
2019-05-05,63,False
2019-05-12,55,False
2019-05-19,71,False
2019-05-26,39,False
2019-06-02,55,False
2019-06-09,53,False
2019-06-16,43,False
2019-06-23,57,False
2019-06-30,49,False
2019-07-07,61,False
2019-07-14,64,False
2019-07-21,39,False
2019-07-28,65,False
2019-08-04,62,False
2019-08-11,53,False
2019-08-18,77,False
2019-08-25,56,False
2019-09-01,55,False
2019-09-08,29,False
2019-09-15,52,False
2019-09-22,63,False
2019-09-29,54,False
2019-10-06,54,False
2019-10-13,37,False
2019-10-20,50,False
2019-10-27,52,False
2019-11-03,53,False
2019-11-10,42,False
2019-11-17,33,False
2019-11-24,12,False
2019-12-01,14,False
2019-12-08,30,False
2019-12-15,32,False
2019-12-22,18,False
2019-12-29,16,False
2020-01-05,32,False
2020-01-12,51,False
2020-01-19,32,False
2020-01-26,49,False
2020-02-02,34,False
2020-02-09,42,False
2020-02-16,52,False
2020-02-23,45,False
2020-03-01,48,False
2020-03-08,45,False
2020-03-15,52,False
2020-03-22,52,False
2020-03-29,59,False
2020-04-05,84,False
2020-04-12,97,False
2020-04-19,89,False
2020-04-26,77,False
2020-05-03,96,False
2020-05-10,71,False
2020-05-17,81,True
