geoName,geoCode,Solar
Burgenland,AT-1,100
Carinthia,AT-2,96
Lower Austria,AT-3,82
Salzburg,AT-5,70
Styria,AT-6,86
Tyrol,AT-7,76
Upper Austria,AT-4,81
Vienna,AT-9,67
Vorarlberg,AT-8,81
