date,Solar,isPartial
2018-01-07,35,False
2018-01-14,45,False
2018-01-21,41,False
2018-01-28,35,False
2018-02-04,53,False
2018-02-11,55,False
2018-02-18,48,False
2018-02-25,33,False
2018-03-04,35,False
2018-03-11,62,False
2018-03-18,52,False
2018-03-25,43,False
2018-04-01,48,False
2018-04-08,48,False
2018-04-15,43,False
2018-04-22,59,False
2018-04-29,64,False
2018-05-06,60,False
2018-05-13,60,False
2018-05-20,67,False
2018-05-27,62,False
2018-06-03,71,False
2018-06-10,56,False
2018-06-17,56,False
2018-06-24,69,False
2018-07-01,52,False
2018-07-08,71,False
2018-07-15,49,False
2018-07-22,90,False
2018-07-29,65,False
2018-08-05,76,False
2018-08-12,69,False
2018-08-19,62,False
2018-08-26,40,False
2018-09-02,53,False
2018-09-09,52,False
2018-09-16,54,False
2018-09-23,61,False
2018-09-30,37,False
2018-10-07,38,False
2018-10-14,52,False
2018-10-21,53,False
2018-10-28,35,False
2018-11-04,59,False
2018-11-11,43,False
2018-11-18,47,False
2018-11-25,38,False
2018-12-02,40,False
2018-12-09,20,False
2018-12-16,31,False
2018-12-23,44,False
2018-12-30,30,False
2019-01-06,44,False
2019-01-13,49,False
2019-01-20,38,False
2019-01-27,43,False
2019-02-03,43,False
2019-02-10,45,False
2019-02-17,65,False
2019-02-24,53,False
2019-03-03,47,False
2019-03-10,68,False
2019-03-17,76,False
2019-03-24,81,False
2019-03-31,68,False
2019-04-07,64,False
2019-04-14,81,False
2019-04-21,71,False
2019-04-28,52,False
2019-05-05,36,False
2019-05-12,44,False
2019-05-19,69,False
2019-05-26,41,False
2019-06-02,64,False
2019-06-09,100,False
2019-06-16,56,False
2019-06-23,45,False
2019-06-30,58,False
2019-07-07,72,False
2019-07-14,46,False
2019-07-21,64,False
2019-07-28,61,False
2019-08-04,49,False
2019-08-11,62,False
2019-08-18,61,False
2019-08-25,69,False
2019-09-01,50,False
2019-09-08,40,False
2019-09-15,57,False
2019-09-22,35,False
2019-09-29,53,False
2019-10-06,38,False
2019-10-13,34,False
2019-10-20,57,False
2019-10-27,47,False
2019-11-03,56,False
2019-11-10,32,False
2019-11-17,44,False
2019-11-24,38,False
2019-12-01,69,False
2019-12-08,41,False
2019-12-15,42,False
2019-12-22,28,False
2019-12-29,28,False
2020-01-05,33,False
2020-01-12,42,False
2020-01-19,65,False
2020-01-26,42,False
2020-02-02,48,False
2020-02-09,35,False
2020-02-16,40,False
2020-02-23,45,False
2020-03-01,54,False
2020-03-08,53,False
2020-03-15,17,False
2020-03-22,41,False
2020-03-29,56,False
2020-04-05,56,False
2020-04-12,67,False
2020-04-19,79,False
2020-04-26,88,False
2020-05-03,79,False
2020-05-10,79,False
2020-05-17,93,False
2020-05-24,88,False
2020-05-31,70,False
2020-06-07,81,False
2020-06-14,66,False
2020-06-21,61,False
2020-06-28,75,False
2020-07-05,72,False
