,geoName,psychologue couple
3,Brittany,31.666666666666664
5,Centre-Val de Loire,0.0
7,Corsica,0.0
15,Pays de la Loire,66.66666666666666
18,Provence-Alpes-Côte d'Azur,86.66666666666667
21,Île-de-France,65.0
22,Grand-est,0.0
23,Hauts-de-france,37.5
24,Normandie,0.0
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,90.55555555555556
27,Occitanie,100.0
28,Auvergne-Rhône-Alpes,36.666666666666664
