date,psychologue couple,isPartial
2018-01-07,26,False
2018-01-14,44,False
2018-01-21,26,False
2018-01-28,40,False
2018-02-04,79,False
2018-02-11,71,False
2018-02-18,28,False
2018-02-25,56,False
2018-03-04,27,False
2018-03-11,27,False
2018-03-18,68,False
2018-03-25,55,False
2018-04-01,56,False
2018-04-08,53,False
2018-04-15,58,False
2018-04-22,57,False
2018-04-29,97,False
2018-05-06,39,False
2018-05-13,80,False
2018-05-20,64,False
2018-05-27,65,False
2018-06-03,39,False
2018-06-10,51,False
2018-06-17,52,False
2018-06-24,80,False
2018-07-01,35,False
2018-07-08,64,False
2018-07-15,59,False
2018-07-22,30,False
2018-07-29,74,False
2018-08-05,44,False
2018-08-12,0,False
2018-08-19,64,False
2018-08-26,67,False
2018-09-02,27,False
2018-09-09,44,False
2018-09-16,26,False
2018-09-23,35,False
2018-09-30,66,False
2018-10-07,44,False
2018-10-14,50,False
2018-10-21,26,False
2018-10-28,42,False
2018-11-04,44,False
2018-11-11,38,False
2018-11-18,52,False
2018-11-25,44,False
2018-12-02,26,False
2018-12-09,27,False
2018-12-16,55,False
2018-12-23,100,False
2018-12-30,41,False
2019-01-06,40,False
2019-01-13,88,False
2019-01-20,52,False
2019-01-27,51,False
2019-02-03,73,False
2019-02-10,26,False
2019-02-17,88,False
2019-02-24,54,False
2019-03-03,79,False
2019-03-10,27,False
2019-03-17,54,False
2019-03-24,46,False
2019-03-31,95,False
2019-04-07,37,False
2019-04-14,43,False
2019-04-21,61,False
2019-04-28,89,False
2019-05-05,48,False
2019-05-12,47,False
2019-05-19,28,False
2019-05-26,43,False
2019-06-02,25,False
2019-06-09,42,False
2019-06-16,55,False
2019-06-23,28,False
2019-06-30,56,False
2019-07-07,43,False
2019-07-14,81,False
2019-07-21,64,False
2019-07-28,45,False
2019-08-04,36,False
2019-08-11,37,False
2019-08-18,35,False
2019-08-25,41,False
2019-09-01,56,False
2019-09-08,68,False
2019-09-15,40,False
2019-09-22,65,False
2019-09-29,26,False
2019-10-06,40,False
2019-10-13,27,False
2019-10-20,69,False
2019-10-27,65,False
2019-11-03,39,False
2019-11-10,27,False
2019-11-17,79,False
2019-11-24,0,False
2019-12-01,25,False
2019-12-08,38,False
2019-12-15,53,False
2019-12-22,32,False
2019-12-29,50,False
2020-01-05,38,False
2020-01-12,51,False
2020-01-19,26,False
2020-01-26,25,False
2020-02-02,78,False
2020-02-09,26,False
2020-02-16,45,False
2020-02-23,37,False
2020-03-01,37,False
2020-03-08,49,False
2020-03-15,52,False
2020-03-22,35,False
2020-03-29,52,False
2020-04-05,26,False
2020-04-12,0,False
2020-04-19,26,False
2020-04-26,25,False
2020-05-03,36,False
2020-05-10,76,False
2020-05-17,60,True
