geoName,geoCode,torte di compleanno
Abruzzo,IT-65,32
Aosta,IT-23,0
Apulia,IT-75,57
Basilicata,IT-77,70
Calabria,IT-78,56
Campania,IT-72,47
Emilia-Romagna,IT-45,23
Friuli-Venezia Giulia,IT-36,22
Lazio,IT-62,29
Liguria,IT-42,26
Lombardy,IT-25,22
Marche,IT-57,29
Molise,IT-67,100
Piedmont,IT-21,29
Sardinia,IT-88,21
Sicily,IT-82,41
Trentino-Alto Adige/South Tyrol,IT-32,23
Tuscany,IT-52,25
Umbria,IT-55,21
Veneto,IT-34,19
