date,torte di compleanno,isPartial
2018-01-07,82,False
2018-01-14,51,False
2018-01-21,25,False
2018-01-28,40,False
2018-02-04,36,False
2018-02-11,57,False
2018-02-18,49,False
2018-02-25,55,False
2018-03-04,54,False
2018-03-11,65,False
2018-03-18,38,False
2018-03-25,40,False
2018-04-01,15,False
2018-04-08,21,False
2018-04-15,21,False
2018-04-22,26,False
2018-04-29,40,False
2018-05-06,49,False
2018-05-13,41,False
2018-05-20,55,False
2018-05-27,21,False
2018-06-03,46,False
2018-06-10,24,False
2018-06-17,22,False
2018-06-24,54,False
2018-07-01,21,False
2018-07-08,32,False
2018-07-15,22,False
2018-07-22,100,False
2018-07-29,47,False
2018-08-05,46,False
2018-08-12,43,False
2018-08-19,56,False
2018-08-26,56,False
2018-09-02,51,False
2018-09-09,77,False
2018-09-16,53,False
2018-09-23,65,False
2018-09-30,44,False
2018-10-07,34,False
2018-10-14,7,False
2018-10-21,13,False
2018-10-28,30,False
2018-11-04,45,False
2018-11-11,27,False
2018-11-18,29,False
2018-11-25,37,False
2018-12-02,31,False
2018-12-09,43,False
2018-12-16,28,False
2018-12-23,29,False
2018-12-30,39,False
2019-01-06,31,False
2019-01-13,33,False
2019-01-20,45,False
2019-01-27,22,False
2019-02-03,16,False
2019-02-10,26,False
2019-02-17,50,False
2019-02-24,17,False
2019-03-03,20,False
2019-03-10,37,False
2019-03-17,34,False
2019-03-24,21,False
2019-03-31,38,False
2019-04-07,30,False
2019-04-14,42,False
2019-04-21,54,False
2019-04-28,53,False
2019-05-05,30,False
2019-05-12,27,False
2019-05-19,30,False
2019-05-26,26,False
2019-06-02,21,False
2019-06-09,34,False
2019-06-16,34,False
2019-06-23,21,False
2019-06-30,21,False
2019-07-07,28,False
2019-07-14,25,False
2019-07-21,89,False
2019-07-28,99,False
2019-08-04,29,False
2019-08-11,23,False
2019-08-18,43,False
2019-08-25,53,False
2019-09-01,29,False
2019-09-08,30,False
2019-09-15,45,False
2019-09-22,35,False
2019-09-29,45,False
2019-10-06,48,False
2019-10-13,22,False
2019-10-20,28,False
2019-10-27,38,False
2019-11-03,27,False
2019-11-10,31,False
2019-11-17,18,False
2019-11-24,27,False
2019-12-01,25,False
2019-12-08,13,False
2019-12-15,13,False
2019-12-22,12,False
2019-12-29,26,False
2020-01-05,38,False
2020-01-12,44,False
2020-01-19,49,False
2020-01-26,58,False
2020-02-02,23,False
2020-02-09,36,False
2020-02-16,26,False
2020-02-23,22,False
2020-03-01,33,False
2020-03-08,36,False
2020-03-15,37,False
2020-03-22,21,False
2020-03-29,38,False
2020-04-05,40,False
2020-04-12,35,False
2020-04-19,27,False
2020-04-26,47,True
