geoName,geoCode,Brunnen bohren
Baden-Württemberg,DE-BW,23
Bavaria,DE-BY,19
Berlin,DE-BE,28
Brandenburg,DE-BB,100
Bremen,DE-HB,21
Hamburg,DE-HH,18
Hesse,DE-HE,32
Lower Saxony,DE-NI,51
Mecklenburg-Vorpommern,DE-MV,46
North Rhine-Westphalia,DE-NW,32
Rhineland-Palatinate,DE-RP,23
Saarland,DE-SL,14
Saxony,DE-SN,59
Saxony-Anhalt,DE-ST,66
Schleswig-Holstein,DE-SH,28
Thuringia,DE-TH,56
