geoName,geoCode,Hochzeitslocation
Baden-Württemberg,DE-BW,100
Bavaria,DE-BY,84
Berlin,DE-BE,78
Brandenburg,DE-BB,46
Bremen,DE-HB,84
Hamburg,DE-HH,83
Hesse,DE-HE,96
Lower Saxony,DE-NI,48
Mecklenburg-Vorpommern,DE-MV,54
North Rhine-Westphalia,DE-NW,98
Rhineland-Palatinate,DE-RP,94
Saarland,DE-SL,47
Saxony,DE-SN,47
Saxony-Anhalt,DE-ST,56
Schleswig-Holstein,DE-SH,49
Thuringia,DE-TH,76
