,geoName,Costume homme
3,Brittany,54.0
5,Centre-Val de Loire,68.0
7,Corsica,100.0
15,Pays de la Loire,60.0
18,Provence-Alpes-Côte d'Azur,60.0
21,Île-de-France,65.0
22,Grand-est,60.0
23,Hauts-de-france,78.5
24,Normandie,51.5
25,Bourgogne-Franche-Comté,57.0
26,Nouvelle-Aquitaine,60.333333333333336
27,Occitanie,58.0
28,Auvergne-Rhône-Alpes,59.0
