,geoName,means
0,Andalusia,79.0
1,Aragon,52.0
2,Asturias,56.0
3,Balearic Islands,66.0
4,Basque Country,45.0
5,Canary Islands,47.0
6,Cantabria,74.0
7,Castile and León,62.0
8,Castile-La Mancha,57.0
9,Catalonia,94.0
10,Ceuta,0.0
11,Community of Madrid,100.0
12,Extremadura,60.0
13,Galicia,63.0
14,La Rioja,23.0
15,Melilla,0.0
16,Navarre,54.0
17,Region of Murcia,62.0
18,Valencian Community,60.0
