,geoName,means
0,Andalusia,23.0
1,Aragon,21.0
2,Asturias,19.0
3,Balearic Islands,19.0
4,Basque Country,29.0
5,Canary Islands,23.0
6,Cantabria,18.0
7,Castile and León,26.0
8,Castile-La Mancha,26.0
9,Catalonia,44.0
10,Ceuta,0.0
11,Community of Madrid,100.0
12,Extremadura,12.0
13,Galicia,28.0
14,La Rioja,23.0
15,Melilla,0.0
16,Navarre,21.0
17,Region of Murcia,19.0
18,Valencian Community,25.0
