,geoName,means
0,Andalusia,100.0
1,Aragon,54.0
2,Asturias,30.0
3,Balearic Islands,38.0
4,Basque Country,30.0
5,Canary Islands,63.0
6,Cantabria,33.0
7,Castile and León,64.0
8,Castile-La Mancha,93.0
9,Catalonia,47.0
10,Ceuta,0.0
11,Community of Madrid,83.0
12,Extremadura,81.0
13,Galicia,59.0
14,La Rioja,18.0
15,Melilla,0.0
16,Navarre,40.0
17,Region of Murcia,53.0
18,Valencian Community,64.0
