,geoName,Déchèterie
3,Brittany,73.4375
5,Centre-Val de Loire,64.0625
7,Corsica,15.625
15,Pays de la Loire,62.5
18,Provence-Alpes-Côte d'Azur,28.125
21,Île-de-France,23.4375
22,Grand-est,59.375
23,Hauts-de-france,41.40625
24,Normandie,67.96875
25,Bourgogne-Franche-Comté,47.65625
26,Nouvelle-Aquitaine,40.625
27,Occitanie,47.65625
28,Auvergne-Rhône-Alpes,100.0
