geoName,geoCode,embalajes
Andalusia,ES-AN,21
Aragon,ES-AR,51
Asturias,ES-AS,48
Balearic Islands,ES-IB,30
Basque Country,ES-PV,41
Canary Islands,ES-CN,13
Cantabria,ES-CB,23
Castile and León,ES-CL,33
Castile-La Mancha,ES-CM,29
Catalonia,ES-CT,28
Ceuta,ES-CE,0
Community of Madrid,ES-MD,40
Extremadura,ES-EX,11
Galicia,ES-GA,39
La Rioja,ES-RI,100
Melilla,ES-ML,0
Navarre,ES-NC,71
Region of Murcia,ES-MC,35
Valencian Community,ES-VC,30
