date,capelli ricci,isPartial
2018-01-07,31,False
2018-01-14,62,False
2018-01-21,61,False
2018-01-28,61,False
2018-02-04,39,False
2018-02-11,20,False
2018-02-18,40,False
2018-02-25,38,False
2018-03-04,39,False
2018-03-11,20,False
2018-03-18,51,False
2018-03-25,30,False
2018-04-01,52,False
2018-04-08,78,False
2018-04-15,73,False
2018-04-22,31,False
2018-04-29,48,False
2018-05-06,20,False
2018-05-13,79,False
2018-05-20,100,False
2018-05-27,98,False
2018-06-03,79,False
2018-06-10,19,False
2018-06-17,49,False
2018-06-24,30,False
2018-07-01,57,False
2018-07-08,55,False
2018-07-15,46,False
2018-07-22,55,False
2018-07-29,47,False
2018-08-05,18,False
2018-08-12,44,False
2018-08-19,37,False
2018-08-26,19,False
2018-09-02,69,False
2018-09-09,40,False
2018-09-16,59,False
2018-09-23,20,False
2018-09-30,60,False
2018-10-07,40,False
2018-10-14,32,False
2018-10-21,81,False
2018-10-28,29,False
2018-11-04,39,False
2018-11-11,74,False
2018-11-18,51,False
2018-11-25,52,False
2018-12-02,52,False
2018-12-09,32,False
2018-12-16,32,False
2018-12-23,24,False
2018-12-30,44,False
2019-01-06,31,False
2019-01-13,20,False
2019-01-20,37,False
2019-01-27,54,False
2019-02-03,75,False
2019-02-10,48,False
2019-02-17,60,False
2019-02-24,29,False
2019-03-03,66,False
2019-03-10,57,False
2019-03-17,29,False
2019-03-24,48,False
2019-03-31,76,False
2019-04-07,38,False
2019-04-14,39,False
2019-04-21,34,False
2019-04-28,18,False
2019-05-05,45,False
2019-05-12,37,False
2019-05-19,64,False
2019-05-26,44,False
2019-06-02,38,False
2019-06-09,89,False
2019-06-16,27,False
2019-06-23,37,False
2019-06-30,45,False
2019-07-07,52,False
2019-07-14,17,False
2019-07-21,62,False
2019-07-28,36,False
2019-08-04,34,False
2019-08-11,43,False
2019-08-18,50,False
2019-08-25,25,False
2019-09-01,34,False
2019-09-08,63,False
2019-09-15,18,False
2019-09-22,26,False
2019-09-29,52,False
2019-10-06,53,False
2019-10-13,26,False
2019-10-20,49,False
2019-10-27,26,False
2019-11-03,42,False
2019-11-10,87,False
2019-11-17,50,False
2019-11-24,68,False
2019-12-01,61,False
2019-12-08,45,False
2019-12-15,81,False
2019-12-22,64,False
2019-12-29,20,False
2020-01-05,18,False
2020-01-12,34,False
2020-01-19,44,False
2020-01-26,43,False
2020-02-02,67,False
2020-02-09,79,False
2020-02-16,86,False
2020-02-23,16,False
2020-03-01,48,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,50,False
2020-03-29,59,False
2020-04-05,31,False
2020-04-12,39,False
2020-04-19,44,False
2020-04-26,25,True
