geoName,geoCode,capelli ricci
Abruzzo,IT-65,71
Aosta,IT-23,77
Apulia,IT-75,93
Basilicata,IT-77,64
Calabria,IT-78,84
Campania,IT-72,87
Emilia-Romagna,IT-45,61
Friuli-Venezia Giulia,IT-36,45
Lazio,IT-62,63
Liguria,IT-42,68
Lombardy,IT-25,60
Marche,IT-57,65
Molise,IT-67,62
Piedmont,IT-21,63
Sardinia,IT-88,51
Sicily,IT-82,100
Trentino-Alto Adige/South Tyrol,IT-32,35
Tuscany,IT-52,57
Umbria,IT-55,91
Veneto,IT-34,52
