date,Coach vie,isPartial
2018-01-07,63,False
2018-01-14,46,False
2018-01-21,73,False
2018-01-28,63,False
2018-02-04,40,False
2018-02-11,41,False
2018-02-18,79,False
2018-02-25,55,False
2018-03-04,23,False
2018-03-11,64,False
2018-03-18,41,False
2018-03-25,41,False
2018-04-01,60,False
2018-04-08,41,False
2018-04-15,44,False
2018-04-22,25,False
2018-04-29,36,False
2018-05-06,44,False
2018-05-13,35,False
2018-05-20,53,False
2018-05-27,23,False
2018-06-03,45,False
2018-06-10,39,False
2018-06-17,42,False
2018-06-24,35,False
2018-07-01,25,False
2018-07-08,71,False
2018-07-15,39,False
2018-07-22,30,False
2018-07-29,41,False
2018-08-05,65,False
2018-08-12,56,False
2018-08-19,55,False
2018-08-26,56,False
2018-09-02,41,False
2018-09-09,51,False
2018-09-16,40,False
2018-09-23,43,False
2018-09-30,69,False
2018-10-07,59,False
2018-10-14,33,False
2018-10-21,78,False
2018-10-28,48,False
2018-11-04,40,False
2018-11-11,38,False
2018-11-18,50,False
2018-11-25,40,False
2018-12-02,34,False
2018-12-09,29,False
2018-12-16,59,False
2018-12-23,43,False
2018-12-30,26,False
2019-01-06,58,False
2019-01-13,69,False
2019-01-20,50,False
2019-01-27,42,False
2019-02-03,48,False
2019-02-10,68,False
2019-02-17,17,False
2019-02-24,53,False
2019-03-03,40,False
2019-03-10,46,False
2019-03-17,53,False
2019-03-24,48,False
2019-03-31,53,False
2019-04-07,0,False
2019-04-14,43,False
2019-04-21,59,False
2019-04-28,26,False
2019-05-05,50,False
2019-05-12,82,False
2019-05-19,53,False
2019-05-26,47,False
2019-06-02,82,False
2019-06-09,48,False
2019-06-16,63,False
2019-06-23,66,False
2019-06-30,61,False
2019-07-07,31,False
2019-07-14,20,False
2019-07-21,49,False
2019-07-28,51,False
2019-08-04,31,False
2019-08-11,32,False
2019-08-18,84,False
2019-08-25,100,False
2019-09-01,48,False
2019-09-08,62,False
2019-09-15,99,False
2019-09-22,34,False
2019-09-29,17,False
2019-10-06,81,False
2019-10-13,59,False
2019-10-20,48,False
2019-10-27,64,False
2019-11-03,73,False
2019-11-10,23,False
2019-11-17,29,False
2019-11-24,28,False
2019-12-01,55,False
2019-12-08,50,False
2019-12-15,40,False
2019-12-22,62,False
2019-12-29,78,False
2020-01-05,61,False
2020-01-12,39,False
2020-01-19,57,False
2020-01-26,50,False
2020-02-02,34,False
2020-02-09,79,False
2020-02-16,69,False
2020-02-23,76,False
2020-03-01,37,False
2020-03-08,26,False
2020-03-15,17,False
2020-03-22,43,False
2020-03-29,40,False
2020-04-05,39,False
2020-04-12,52,False
2020-04-19,33,False
2020-04-26,55,False
2020-05-03,58,False
2020-05-10,41,False
2020-05-17,52,True
