,geoName,Coach vie
3,Brittany,52.74725274725275
5,Centre-Val de Loire,52.74725274725275
7,Corsica,0.0
15,Pays de la Loire,62.637362637362635
18,Provence-Alpes-Côte d'Azur,51.09890109890111
21,Île-de-France,67.58241758241759
22,Grand-est,34.61538461538461
23,Hauts-de-france,19.78021978021978
24,Normandie,20.604395604395606
25,Bourgogne-Franche-Comté,28.84615384615385
26,Nouvelle-Aquitaine,100.0
27,Occitanie,54.3956043956044
28,Auvergne-Rhône-Alpes,29.67032967032967
