geoName,geoCode,Rollladen
Burgenland,AT-1,90
Carinthia,AT-2,48
Lower Austria,AT-3,100
Salzburg,AT-5,91
Styria,AT-6,70
Tyrol,AT-7,66
Upper Austria,AT-4,55
Vienna,AT-9,43
Vorarlberg,AT-8,99
