geoName,geoCode,corso cinema
Abruzzo,IT-65,13
Aosta,IT-23,0
Apulia,IT-75,16
Basilicata,IT-77,0
Calabria,IT-78,0
Campania,IT-72,6
Emilia-Romagna,IT-45,38
Friuli-Venezia Giulia,IT-36,0
Lazio,IT-62,18
Liguria,IT-42,13
Lombardy,IT-25,10
Marche,IT-57,10
Molise,IT-67,100
Piedmont,IT-21,21
Sardinia,IT-88,0
Sicily,IT-82,4
Trentino-Alto Adige/South Tyrol,IT-32,0
Tuscany,IT-52,2
Umbria,IT-55,19
Veneto,IT-34,22
