geoName,geoCode,apprendre anglais
Brittany,FR-E,76.11940298507463
Centre-Val de Loire,FR-F,98.50746268656717
Corsica,FR-H,98.50746268656717
Pays de la Loire,FR-R,89.55223880597015
Provence-Alpes-Côte d'Azur,FR-U,85.07462686567165
Île-de-France,FR-J,97.01492537313433
Grand-est,FR-GE,73.13432835820896
Hauts-de-france,FR-HF,85.82089552238806
Normandie,FR-NO,71.64179104477611
Bourgogne-Franche-Comté,FR-BFC,82.08955223880598
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,97.76119402985076
Auvergne-Rhône-Alpes,FR-AR,97.01492537313433
