geoName,geoCode,Dachdeckerei
Burgenland,AT-1,92
Carinthia,AT-2,99
Lower Austria,AT-3,41
Salzburg,AT-5,85
Styria,AT-6,83
Tyrol,AT-7,19
Upper Austria,AT-4,100
Vienna,AT-9,25
Vorarlberg,AT-8,85
