date,capelli scalati,isPartial
2018-01-07,71,False
2018-01-14,66,False
2018-01-21,73,False
2018-01-28,75,False
2018-02-04,67,False
2018-02-11,69,False
2018-02-18,57,False
2018-02-25,49,False
2018-03-04,76,False
2018-03-11,65,False
2018-03-18,61,False
2018-03-25,73,False
2018-04-01,54,False
2018-04-08,61,False
2018-04-15,62,False
2018-04-22,53,False
2018-04-29,58,False
2018-05-06,67,False
2018-05-13,68,False
2018-05-20,66,False
2018-05-27,64,False
2018-06-03,48,False
2018-06-10,72,False
2018-06-17,53,False
2018-06-24,57,False
2018-07-01,52,False
2018-07-08,55,False
2018-07-15,71,False
2018-07-22,52,False
2018-07-29,67,False
2018-08-05,63,False
2018-08-12,48,False
2018-08-19,67,False
2018-08-26,83,False
2018-09-02,100,False
2018-09-09,86,False
2018-09-16,85,False
2018-09-23,66,False
2018-09-30,52,False
2018-10-07,61,False
2018-10-14,74,False
2018-10-21,49,False
2018-10-28,63,False
2018-11-04,57,False
2018-11-11,77,False
2018-11-18,59,False
2018-11-25,65,False
2018-12-02,43,False
2018-12-09,68,False
2018-12-16,56,False
2018-12-23,51,False
2018-12-30,43,False
2019-01-06,48,False
2019-01-13,58,False
2019-01-20,59,False
2019-01-27,77,False
2019-02-03,81,False
2019-02-10,61,False
2019-02-17,48,False
2019-02-24,60,False
2019-03-03,58,False
2019-03-10,71,False
2019-03-17,57,False
2019-03-24,46,False
2019-03-31,60,False
2019-04-07,64,False
2019-04-14,69,False
2019-04-21,43,False
2019-04-28,52,False
2019-05-05,57,False
2019-05-12,53,False
2019-05-19,53,False
2019-05-26,58,False
2019-06-02,58,False
2019-06-09,49,False
2019-06-16,51,False
2019-06-23,57,False
2019-06-30,43,False
2019-07-07,53,False
2019-07-14,68,False
2019-07-21,56,False
2019-07-28,60,False
2019-08-04,56,False
2019-08-11,32,False
2019-08-18,56,False
2019-08-25,68,False
2019-09-01,70,False
2019-09-08,81,False
2019-09-15,61,False
2019-09-22,67,False
2019-09-29,69,False
2019-10-06,50,False
2019-10-13,62,False
2019-10-20,72,False
2019-10-27,68,False
2019-11-03,65,False
2019-11-10,66,False
2019-11-17,81,False
2019-11-24,70,False
2019-12-01,73,False
2019-12-08,50,False
2019-12-15,67,False
2019-12-22,73,False
2019-12-29,58,False
2020-01-05,56,False
2020-01-12,59,False
2020-01-19,75,False
2020-01-26,63,False
2020-02-02,60,False
2020-02-09,63,False
2020-02-16,60,False
2020-02-23,46,False
2020-03-01,53,False
2020-03-08,17,False
2020-03-15,17,False
2020-03-22,29,False
2020-03-29,34,False
2020-04-05,33,False
2020-04-12,39,False
2020-04-19,39,False
2020-04-26,52,True
