geoName,geoCode,capelli scalati
Abruzzo,IT-65,86
Aosta,IT-23,0
Apulia,IT-75,84
Basilicata,IT-77,65
Calabria,IT-78,100
Campania,IT-72,79
Emilia-Romagna,IT-45,70
Friuli-Venezia Giulia,IT-36,46
Lazio,IT-62,65
Liguria,IT-42,62
Lombardy,IT-25,67
Marche,IT-57,67
Molise,IT-67,0
Piedmont,IT-21,94
Sardinia,IT-88,82
Sicily,IT-82,80
Trentino-Alto Adige/South Tyrol,IT-32,29
Tuscany,IT-52,71
Umbria,IT-55,55
Veneto,IT-34,63
