date,herbe synthétique,isPartial
2018-01-07,33,False
2018-01-14,0,False
2018-01-21,17,False
2018-01-28,17,False
2018-02-04,33,False
2018-02-11,16,False
2018-02-18,51,False
2018-02-25,33,False
2018-03-04,25,False
2018-03-11,33,False
2018-03-18,34,False
2018-03-25,17,False
2018-04-01,17,False
2018-04-08,56,False
2018-04-15,84,False
2018-04-22,69,False
2018-04-29,51,False
2018-05-06,29,False
2018-05-13,51,False
2018-05-20,74,False
2018-05-27,33,False
2018-06-03,50,False
2018-06-10,43,False
2018-06-17,34,False
2018-06-24,28,False
2018-07-01,33,False
2018-07-08,34,False
2018-07-15,18,False
2018-07-22,45,False
2018-07-29,61,False
2018-08-05,18,False
2018-08-12,25,False
2018-08-19,45,False
2018-08-26,40,False
2018-09-02,17,False
2018-09-09,34,False
2018-09-16,28,False
2018-09-23,34,False
2018-09-30,17,False
2018-10-07,17,False
2018-10-14,17,False
2018-10-21,17,False
2018-10-28,17,False
2018-11-04,25,False
2018-11-11,17,False
2018-11-18,0,False
2018-11-25,17,False
2018-12-02,50,False
2018-12-09,17,False
2018-12-16,17,False
2018-12-23,19,False
2018-12-30,18,False
2019-01-06,22,False
2019-01-13,22,False
2019-01-20,33,False
2019-01-27,0,False
2019-02-03,16,False
2019-02-10,17,False
2019-02-17,40,False
2019-02-24,51,False
2019-03-03,16,False
2019-03-10,16,False
2019-03-17,40,False
2019-03-24,17,False
2019-03-31,41,False
2019-04-07,34,False
2019-04-14,23,False
2019-04-21,77,False
2019-04-28,41,False
2019-05-05,38,False
2019-05-12,58,False
2019-05-19,33,False
2019-05-26,28,False
2019-06-02,38,False
2019-06-09,16,False
2019-06-16,41,False
2019-06-23,27,False
2019-06-30,27,False
2019-07-07,24,False
2019-07-14,23,False
2019-07-21,23,False
2019-07-28,29,False
2019-08-04,36,False
2019-08-11,18,False
2019-08-18,35,False
2019-08-25,22,False
2019-09-01,16,False
2019-09-08,24,False
2019-09-15,16,False
2019-09-22,15,False
2019-09-29,31,False
2019-10-06,15,False
2019-10-13,15,False
2019-10-20,31,False
2019-10-27,15,False
2019-11-03,15,False
2019-11-10,25,False
2019-11-17,15,False
2019-11-24,15,False
2019-12-01,15,False
2019-12-08,22,False
2019-12-15,22,False
2019-12-22,17,False
2019-12-29,32,False
2020-01-05,37,False
2020-01-12,21,False
2020-01-19,29,False
2020-01-26,43,False
2020-02-02,29,False
2020-02-09,29,False
2020-02-16,39,False
2020-02-23,19,False
2020-03-01,14,False
2020-03-08,27,False
2020-03-15,26,False
2020-03-22,43,False
2020-03-29,34,False
2020-04-05,69,False
2020-04-12,53,False
2020-04-19,52,False
2020-04-26,20,False
2020-05-03,61,False
2020-05-10,35,False
2020-05-17,79,False
2020-05-24,77,False
2020-05-31,89,False
2020-06-07,34,False
2020-06-14,31,False
2020-06-21,100,True
