geoName,geoCode,capodanno
Abruzzo,IT-65,49
Aosta,IT-23,41
Apulia,IT-75,64
Basilicata,IT-77,100
Calabria,IT-78,66
Campania,IT-72,67
Emilia-Romagna,IT-45,69
Friuli-Venezia Giulia,IT-36,59
Lazio,IT-62,71
Liguria,IT-42,69
Lombardy,IT-25,66
Marche,IT-57,76
Molise,IT-67,32
Piedmont,IT-21,62
Sardinia,IT-88,48
Sicily,IT-82,55
Trentino-Alto Adige/South Tyrol,IT-32,43
Tuscany,IT-52,99
Umbria,IT-55,42
Veneto,IT-34,62
