geoName,geoCode,Hochzeitshaus
Baden-Württemberg,DE-BW,88
Bavaria,DE-BY,17
Berlin,DE-BE,40
Brandenburg,DE-BB,100
Bremen,DE-HB,48
Hamburg,DE-HH,16
Hesse,DE-HE,30
Lower Saxony,DE-NI,45
Mecklenburg-Vorpommern,DE-MV,40
North Rhine-Westphalia,DE-NW,16
Rhineland-Palatinate,DE-RP,9
Saarland,DE-SL,0
Saxony,DE-SN,22
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,30
Thuringia,DE-TH,40
