geoName,geoCode,dolce
Abruzzo,IT-65,70
Aosta,IT-23,50
Apulia,IT-75,72
Basilicata,IT-77,74
Calabria,IT-78,73
Campania,IT-72,100
Emilia-Romagna,IT-45,59
Friuli-Venezia Giulia,IT-36,59
Lazio,IT-62,63
Liguria,IT-42,63
Lombardy,IT-25,54
Marche,IT-57,76
Molise,IT-67,77
Piedmont,IT-21,53
Sardinia,IT-88,55
Sicily,IT-82,65
Trentino-Alto Adige/South Tyrol,IT-32,39
Tuscany,IT-52,85
Umbria,IT-55,88
Veneto,IT-34,70
