date,buffet,isPartial
2018-01-07,64,False
2018-01-14,64,False
2018-01-21,74,False
2018-01-28,72,False
2018-02-04,73,False
2018-02-11,61,False
2018-02-18,65,False
2018-02-25,67,False
2018-03-04,65,False
2018-03-11,81,False
2018-03-18,72,False
2018-03-25,72,False
2018-04-01,65,False
2018-04-08,74,False
2018-04-15,80,False
2018-04-22,78,False
2018-04-29,93,False
2018-05-06,100,False
2018-05-13,94,False
2018-05-20,80,False
2018-05-27,80,False
2018-06-03,76,False
2018-06-10,91,False
2018-06-17,84,False
2018-06-24,83,False
2018-07-01,82,False
2018-07-08,85,False
2018-07-15,97,False
2018-07-22,76,False
2018-07-29,83,False
2018-08-05,81,False
2018-08-12,79,False
2018-08-19,90,False
2018-08-26,91,False
2018-09-02,77,False
2018-09-09,85,False
2018-09-16,84,False
2018-09-23,71,False
2018-09-30,80,False
2018-10-07,79,False
2018-10-14,63,False
2018-10-21,65,False
2018-10-28,65,False
2018-11-04,81,False
2018-11-11,72,False
2018-11-18,63,False
2018-11-25,77,False
2018-12-02,69,False
2018-12-09,69,False
2018-12-16,76,False
2018-12-23,82,False
2018-12-30,70,False
2019-01-06,71,False
2019-01-13,71,False
2019-01-20,65,False
2019-01-27,61,False
2019-02-03,70,False
2019-02-10,65,False
2019-02-17,61,False
2019-02-24,78,False
2019-03-03,69,False
2019-03-10,77,False
2019-03-17,77,False
2019-03-24,77,False
2019-03-31,70,False
2019-04-07,86,False
2019-04-14,64,False
2019-04-21,76,False
2019-04-28,83,False
2019-05-05,75,False
2019-05-12,87,False
2019-05-19,87,False
2019-05-26,81,False
2019-06-02,93,False
2019-06-09,95,False
2019-06-16,85,False
2019-06-23,99,False
2019-06-30,82,False
2019-07-07,85,False
2019-07-14,76,False
2019-07-21,82,False
2019-07-28,92,False
2019-08-04,81,False
2019-08-11,76,False
2019-08-18,84,False
2019-08-25,73,False
2019-09-01,76,False
2019-09-08,81,False
2019-09-15,70,False
2019-09-22,84,False
2019-09-29,73,False
2019-10-06,79,False
2019-10-13,76,False
2019-10-20,81,False
2019-10-27,75,False
2019-11-03,66,False
2019-11-10,71,False
2019-11-17,77,False
2019-11-24,61,False
2019-12-01,71,False
2019-12-08,75,False
2019-12-15,77,False
2019-12-22,75,False
2019-12-29,92,False
2020-01-05,66,False
2020-01-12,72,False
2020-01-19,78,False
2020-01-26,64,False
2020-02-02,67,False
2020-02-09,68,False
2020-02-16,67,False
2020-02-23,53,False
2020-03-01,50,False
2020-03-08,23,False
2020-03-15,25,False
2020-03-22,28,False
2020-03-29,30,False
2020-04-05,26,False
2020-04-12,24,False
2020-04-19,28,False
2020-04-26,26,True
