geoName,geoCode,Blechdach
Burgenland,AT-1,99
Carinthia,AT-2,71
Lower Austria,AT-3,89
Salzburg,AT-5,76
Styria,AT-6,100
Tyrol,AT-7,30
Upper Austria,AT-4,60
Vienna,AT-9,52
Vorarlberg,AT-8,0
