geoName,geoCode,Türen streichen
Baden-Württemberg,DE-BW,70
Bavaria,DE-BY,44
Berlin,DE-BE,43
Brandenburg,DE-BB,100
Bremen,DE-HB,0
Hamburg,DE-HH,44
Hesse,DE-HE,63
Lower Saxony,DE-NI,75
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,52
Rhineland-Palatinate,DE-RP,60
Saarland,DE-SL,0
Saxony,DE-SN,37
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,98
Thuringia,DE-TH,0
