geoName,geoCode,Elektroinstallation
Burgenland,AT-1,0
Carinthia,AT-2,100
Lower Austria,AT-3,62
Salzburg,AT-5,86
Styria,AT-6,78
Tyrol,AT-7,57
Upper Austria,AT-4,45
Vienna,AT-9,39
Vorarlberg,AT-8,85
