geoName,geoCode,travaux rénovation
Brittany,FR-E,32.55813953488372
Centre-Val de Loire,FR-F,16.27906976744186
Corsica,FR-H,0.0
Pays de la Loire,FR-R,32.55813953488372
Provence-Alpes-Côte d'Azur,FR-U,32.55813953488372
Île-de-France,FR-J,39.53488372093023
Grand-est,FR-GE,24.031007751937985
Hauts-de-france,FR-HF,19.767441860465116
Normandie,FR-NO,32.55813953488372
Bourgogne-Franche-Comté,FR-BFC,16.27906976744186
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,19.767441860465116
Auvergne-Rhône-Alpes,FR-AR,36.04651162790697
