date,publicidad,fotografia,Maquillaje para novias,catering,Eventos Musicales,Pastelería,Dj,limusina,ramos de flores,coches deportivos,Joyeria,Floristería,modista,Registradores,tarta boda,Maquilladora a Domicilio,organizacion de eventos,Peluquero,Mago,Maquillaje,peinados para boda
2018-01-07,19.12763318134846,19.386114710826142,0.0,12.182648917133932,0.8701892083667094,2.610567625100128,23.495108625901157,0.30296425457715775,0.30296425457715775,0.30296425457715775,3.9385353095030506,0.0,0.30296425457715775,1.211857018308631,0.0,0.0,0.0,0.6059285091543155,6,17,0
2018-01-14,21.97093000560296,20.93700388769223,0.0,17.40378416733419,0.8701892083667094,2.610567625100128,22.624919417534446,0.30296425457715775,0.30296425457715775,0.30296425457715775,3.3326068003487355,0.30296425457715775,0.30296425457715775,1.211857018308631,0.30296425457715775,0.0,0.30296425457715775,0.6059285091543155,6,20,0
2018-01-21,22.487893064558325,19.644596240303827,0.0,15.663405750600772,0.0,2.610567625100128,25.235487042634574,0.30296425457715775,0.30296425457715775,0.30296425457715775,3.0296425457715777,0.30296425457715775,0.30296425457715775,0.9088927637314732,0.0,0.0,0.0,0.6059285091543155,6,19,0
2018-01-28,20.16155929925919,22.229411535080647,0.0,20.01435179243432,0.8701892083667094,2.610567625100128,24.365297834267864,0.30296425457715775,0.30296425457715775,0.30296425457715775,3.0296425457715777,0.30296425457715775,0.30296425457715775,0.9088927637314732,0.30296425457715775,0.0,0.0,0.6059285091543155,6,18,0
2018-02-04,22.746374594036006,22.487893064558325,0.0,16.53359495896748,0.0,3.4807568334668377,21.754730209167736,0.30296425457715775,0.6059285091543155,0.30296425457715775,3.635571054925893,0.30296425457715775,0.30296425457715775,0.9088927637314732,0.30296425457715775,0.0,0.30296425457715775,0.6059285091543155,6,36,0
2018-02-11,20.16155929925919,21.97093000560296,0.0,13.923027333867351,0.8701892083667094,3.4807568334668377,20.01435179243432,0.30296425457715775,0.9088927637314732,0.0,3.3326068003487355,1.211857018308631,0.6059285091543155,1.211857018308631,0.30296425457715775,0.0,0.30296425457715775,0.9088927637314732,4,39,0
2018-02-18,17.576744004482368,24.2972637709021,0.0,18.273973375700898,0.8701892083667094,4.350946041833548,20.01435179243432,0.30296425457715775,0.30296425457715775,0.0,2.72667829119442,0.0,0.30296425457715775,1.211857018308631,0.30296425457715775,0.0,0.0,0.6059285091543155,5,22,0
2018-02-25,14.99192870970555,21.712448476125278,0.0,13.052838125500642,0.0,2.610567625100128,21.754730209167736,0.30296425457715775,0.30296425457715775,0.0,2.423714036617262,0.0,0.30296425457715775,0.6059285091543155,0.30296425457715775,0.0,0.0,0.6059285091543155,5,17,0
2018-03-04,21.97093000560296,21.4539669466476,0.0,14.79321654223406,0.0,2.610567625100128,25.235487042634574,0.30296425457715775,0.30296425457715775,0.0,2.423714036617262,0.30296425457715775,0.6059285091543155,1.211857018308631,0.30296425457715775,0.0,0.0,0.9088927637314732,4,13,1
2018-03-11,22.487893064558325,20.678522358214554,0.0,14.79321654223406,0.8701892083667094,2.610567625100128,20.01435179243432,0.30296425457715775,0.30296425457715775,0.30296425457715775,3.0296425457715777,0.30296425457715775,0.30296425457715775,0.6059285091543155,0.30296425457715775,0.0,0.0,0.6059285091543155,5,12,0
2018-03-18,20.678522358214554,17.576744004482368,0.0,12.182648917133932,0.0,3.4807568334668377,22.624919417534446,0.30296425457715775,0.30296425457715775,0.30296425457715775,2.72667829119442,0.30296425457715775,0.30296425457715775,1.211857018308631,0.0,0.0,0.0,0.9088927637314732,4,15,0
