date,catering,fotografia,Maquillaje para novias,Eventos Musicales,Pastelería,publicidad,Dj,limusina,ramos de flores,coches deportivos,Mago,Joyeria,Floristería,modista,Registradores,tarta boda,Maquilladora a Domicilio,organizacion de eventos,Peluquero,Maquillaje,peinados para boda,bodas
2018-01-07,0.0,20.68181027428302,0.0,0.0,0.0,0.0,54.29727542487187,0.0,0.0,0.0,27.947127056919342,27.947127056919342,0.0,0.0,27.947127056919342,0.0,0.0,0.0,0.0,29,0,57
2018-01-14,0.0,0.0,0.0,0.0,0.0,54.29727542487187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.12597787968708,0.0,0.0,0.0,0.0,27,0,28
2018-01-21,0.0,0.0,0.0,0.0,0.0,24.753169678985703,24.753169678985703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0
2018-01-28,0.0,0.0,0.0,0.0,0.0,0.0,25.551659023469114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,27
2018-02-04,0.0,0.0,0.0,0.0,0.0,26.350148367952524,0.0,0.0,0.0,0.0,0.0,25.551659023469114,0.0,0.0,25.551659023469114,0.0,0.0,0.0,0.0,54,0,54
2018-02-11,0.0,42.683736097988366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.34259509036957,29.544105745886164,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2018-02-18,0.0,21.121848790757127,0.0,0.0,0.0,26.350148367952524,0.0,0.0,0.0,0.0,52.70029673590505,27.947127056919342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0,28
2018-02-25,0.0,0.0,0.0,0.0,0.0,0.0,27.947127056919342,0.0,0.0,0.0,27.148637712435935,0.0,0.0,0.0,27.148637712435935,0.0,0.0,0.0,0.0,29,0,57
2018-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.551659023469114,0.0,0.0,25.551659023469114,0.0,0.0,0.0,0.0,53,0,26
2018-03-11,0.0,19.80173324133481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.350148367952524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,0
2018-03-18,0.0,0.0,0.0,0.0,0.0,0.0,28.745616401402753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0,56
2018-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,0
2018-04-01,0.0,0.0,0.0,0.0,0.0,30.34259509036957,30.34259509036957,0.0,0.0,0.0,0.0,31.939573779336392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0
2018-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,36
2018-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,54
