date,musica dj,fiori matrimonio,Torta matrimonio,Trucco sposa,bomboniere matrimonio,film matrimonio,ristorante matrimonio,Wedding planner,abiti da cerimonia,foto matrimonio,location matrimoni,gruppo musicale
2018-01-07,0.0,19.880926130099226,19.880926130099226,19.880926130099226,11,0,0,11,0,0,0,34
2018-01-14,0.0,39.76185226019845,0.0,0.0,23,0,0,0,35,35,0,35
2018-01-21,0.0,19.880926130099226,0.0,0.0,11,11,11,11,34,17,34,51
2018-01-28,0.0,0.0,0.0,0.0,0,0,0,0,17,17,17,34
2018-02-04,0.0,18.46085997794928,18.46085997794928,0.0,0,0,0,0,33,16,0,49
2018-02-11,0.0,0.0,19.170893054024255,0.0,22,11,11,0,58,0,0,0
2018-02-18,0.0,19.170893054024255,19.170893054024255,0.0,0,0,0,0,42,17,17,34
2018-02-25,17.75082690187431,0.0,0.0,53.25248070562293,10,10,10,0,15,0,15,15
2018-03-04,0.0,18.46085997794928,18.46085997794928,0.0,11,11,0,0,33,16,16,16
2018-03-11,0.0,0.0,0.0,0.0,0,11,0,0,41,16,0,32
2018-03-18,0.0,19.880926130099226,0.0,19.880926130099226,23,0,0,0,34,17,0,26
2018-03-25,0.0,0.0,0.0,0.0,0,0,0,0,17,0,17,17
2018-04-01,0.0,0.0,0.0,0.0,0,0,11,0,34,0,0,34
2018-04-08,18.46085997794928,0.0,0.0,18.46085997794928,0,11,0,0,49,16,0,16
2018-04-15,0.0,19.880926130099226,0.0,19.880926130099226,0,0,0,0,61,0,0,17
2018-04-22,0.0,0.0,0.0,19.880926130099226,12,12,12,12,60,0,0,17
2018-04-29,0.0,18.46085997794928,18.46085997794928,18.46085997794928,21,0,0,0,40,16,16,48
2018-05-06,0.0,0.0,0.0,0.0,0,0,0,0,57,16,0,16
2018-05-13,0.0,0.0,47.572216097023144,19.170893054024255,0,0,0,11,57,82,16,0
2018-05-20,19.170893054024255,0.0,19.170893054024255,19.170893054024255,11,0,0,11,50,100,17,17
2018-05-27,0.0,19.170893054024255,0.0,38.34178610804851,0,0,0,0,33,33,0,33
2018-06-03,37.63175303197353,28.401323042998893,0.0,0.0,0,0,0,11,49,0,33,16
2018-06-10,0.0,36.21168687982359,35.50165380374862,35.50165380374862,0,10,10,10,39,0,0,23
2018-06-17,0.0,0.0,0.0,0.0,0,0,0,0,16,33,0,17
2018-06-24,0.0,19.170893054024255,0.0,0.0,11,0,0,0,16,16,16,16
2018-07-01,18.46085997794928,0.0,18.46085997794928,0.0,0,10,0,0,15,16,16,39
2018-07-08,0.0,0.0,0.0,0.0,0,20,0,10,38,30,15,15
2018-07-15,0.0,17.75082690187431,17.75082690187431,0.0,20,0,0,0,23,31,15,31
2018-07-22,0.0,0.0,0.0,0.0,0,0,10,0,31,15,0,15
2018-07-29,0.0,0.0,0.0,0.0,0,0,0,0,31,0,0,31
2018-08-05,0.0,17.75082690187431,17.75082690187431,0.0,20,10,10,10,23,0,0,30
2018-08-12,0.0,34.081587651598674,0.0,17.040793825799337,0,0,0,0,15,22,0,30
2018-08-19,0.0,18.46085997794928,17.75082690187431,18.46085997794928,0,10,0,0,47,16,0,31
2018-08-26,18.46085997794928,18.46085997794928,36.21168687982359,18.46085997794928,21,11,11,0,16,32,0,39
2018-09-02,18.46085997794928,0.0,18.46085997794928,18.46085997794928,11,0,22,0,32,24,0,16
2018-09-09,19.170893054024255,0.0,0.0,19.170893054024255,0,0,11,0,0,24,16,25
2018-09-16,18.46085997794928,0.0,0.0,0.0,11,0,0,0,0,0,24,32
2018-09-23,0.0,19.170893054024255,37.63175303197353,19.170893054024255,0,11,0,0,16,0,16,0
2018-09-30,19.170893054024255,19.170893054024255,0.0,0.0,22,0,0,0,17,0,33,42
2018-10-07,0.0,19.170893054024255,39.05181918412348,0.0,0,0,0,0,0,17,17,17
2018-10-14,0.0,19.880926130099226,0.0,19.880926130099226,12,0,0,23,44,17,0,0
2018-10-21,0.0,0.0,0.0,0.0,22,0,11,0,17,33,0,33
2018-10-28,18.46085997794928,19.170893054024255,0.0,19.170893054024255,0,0,0,0,16,16,0,57
2018-11-04,0.0,0.0,0.0,0.0,11,0,0,0,16,32,16,16
2018-11-11,0.0,0.0,0.0,0.0,0,11,0,0,0,17,0,17
2018-11-18,0.0,0.0,0.0,19.170893054024255,0,0,11,0,17,0,17,33
2018-11-25,0.0,0.0,0.0,0.0,0,11,0,0,17,17,0,69
2018-12-02,0.0,0.0,0.0,0.0,0,0,0,12,17,17,0,26
2018-12-09,0.0,0.0,0.0,0.0,0,0,0,0,18,0,0,27
2018-12-16,0.0,0.0,0.0,0.0,0,12,0,12,18,18,0,0
2018-12-23,0.0,0.0,0.0,0.0,0,0,0,0,0,20,0,99
2018-12-30,0.0,0.0,21.30099228224917,0.0,0,0,0,0,36,18,37,37
2019-01-06,0.0,0.0,0.0,0.0,0,11,0,0,26,0,17,17
2019-01-13,0.0,0.0,19.170893054024255,0.0,0,11,11,0,16,16,0,16
2019-01-20,17.75082690187431,0.0,35.50165380374862,0.0,10,0,0,10,31,0,15,46
2019-01-27,0.0,0.0,0.0,0.0,20,20,0,0,22,0,15,37
2019-02-03,17.75082690187431,17.75082690187431,0.0,0.0,0,0,10,0,0,0,16,31
2019-02-10,0.0,0.0,0.0,18.46085997794928,0,11,0,0,16,16,0,16
2019-02-17,0.0,0.0,19.170893054024255,0.0,0,0,0,22,17,0,16,33
2019-02-24,0.0,0.0,0.0,0.0,11,0,0,0,33,16,16,32
2019-03-03,0.0,0.0,18.46085997794928,0.0,11,0,0,0,31,31,0,16
2019-03-10,18.46085997794928,18.46085997794928,0.0,0.0,0,10,10,10,47,16,0,32
2019-03-17,18.46085997794928,27.69128996692392,0.0,36.92171995589856,0,0,0,0,40,16,16,16
2019-03-24,18.46085997794928,0.0,0.0,0.0,0,0,0,0,40,16,0,16
2019-03-31,0.0,0.0,18.46085997794928,0.0,32,0,0,0,32,16,0,16
2019-04-07,0.0,18.46085997794928,18.46085997794928,18.46085997794928,0,11,0,0,55,16,0,16
2019-04-14,0.0,0.0,18.46085997794928,18.46085997794928,0,0,0,0,64,16,0,16
2019-04-21,0.0,17.040793825799337,0.0,0.0,0,0,0,0,43,14,14,14
2019-04-28,0.0,0.0,17.75082690187431,0.0,0,0,10,0,38,0,15,54
2019-05-05,34.791620727673646,0.0,0.0,17.040793825799337,0,10,0,10,0,22,15,15
2019-05-12,0.0,0.0,0.0,17.75082690187431,10,0,0,20,30,15,0,30
2019-05-19,0.0,0.0,0.0,0.0,0,0,0,0,15,30,0,15
2019-05-26,0.0,0.0,0.0,0.0,10,0,0,10,15,22,0,29
2019-06-02,0.0,0.0,0.0,0.0,0,10,0,10,16,39,0,39
2019-06-09,0.0,0.0,0.0,17.040793825799337,0,20,0,0,30,0,22,15
2019-06-16,0.0,0.0,17.75082690187431,17.75082690187431,10,0,0,10,15,15,0,46
2019-06-23,0.0,17.75082690187431,17.75082690187431,0.0,10,10,0,0,15,23,0,0
2019-06-30,0.0,17.75082690187431,0.0,0.0,10,0,0,0,23,23,23,38
2019-07-07,0.0,16.330760749724362,16.330760749724362,17.040793825799337,0,0,0,19,0,14,15,29
2019-07-14,0.0,0.0,0.0,33.3715545755237,19,10,0,0,36,14,14,14
2019-07-21,17.040793825799337,0.0,0.0,17.040793825799337,10,10,10,0,44,0,0,44
2019-07-28,17.040793825799337,17.040793825799337,0.0,0.0,0,10,0,0,22,0,0,52
2019-08-04,0.0,0.0,0.0,16.330760749724362,0,0,0,10,43,14,14,21
2019-08-11,16.330760749724362,0.0,0.0,0.0,0,19,0,19,28,14,0,42
2019-08-18,15.620727673649391,15.620727673649391,31.951488423373757,15.620727673649391,0,0,0,0,21,14,0,20
2019-08-25,0.0,16.330760749724362,16.330760749724362,16.330760749724362,9,9,9,19,42,14,28,42
2019-09-01,32.661521499448725,16.330760749724362,16.330760749724362,16.330760749724362,0,0,0,0,28,21,14,29
2019-09-08,0.0,0.0,0.0,17.040793825799337,0,0,0,10,22,22,15,0
2019-09-15,0.0,17.040793825799337,16.330760749724362,17.040793825799337,10,0,0,0,14,14,14,29
2019-09-22,0.0,0.0,33.3715545755237,16.330760749724362,19,10,0,0,14,14,14,28
2019-09-29,0.0,0.0,0.0,0.0,10,0,10,10,14,14,0,14
2019-10-06,0.0,0.0,0.0,0.0,0,0,10,0,0,37,15,37
2019-10-13,0.0,0.0,16.330760749724362,16.330760749724362,9,0,0,0,14,21,0,14
2019-10-20,15.620727673649391,0.0,15.620727673649391,0.0,9,0,9,9,34,14,14,20
2019-10-27,0.0,0.0,16.330760749724362,24.851157662624033,0,0,0,9,14,14,14,0
2019-11-03,0.0,0.0,0.0,0.0,9,0,0,9,28,0,0,28
2019-11-10,0.0,0.0,0.0,0.0,0,19,0,0,14,14,0,14
2019-11-17,15.620727673649391,0.0,0.0,0.0,9,0,0,18,0,27,0,14
2019-11-24,0.0,0.0,0.0,0.0,0,0,9,0,0,21,0,28
2019-12-01,0.0,0.0,0.0,0.0,10,10,0,0,14,0,0,22
2019-12-08,17.040793825799337,0.0,0.0,0.0,0,0,0,0,15,0,0,30
2019-12-15,0.0,0.0,0.0,0.0,0,0,0,0,30,0,0,15
2019-12-22,0.0,0.0,0.0,0.0,0,12,0,24,18,0,0,35
2019-12-29,0.0,0.0,18.46085997794928,0.0,0,22,0,0,24,0,16,32
2020-01-05,0.0,0.0,17.040793825799337,0.0,0,0,10,0,30,0,0,22
2020-01-12,0.0,0.0,16.330760749724362,16.330760749724362,9,0,0,9,56,28,0,14
2020-01-19,0.0,17.040793825799337,0.0,17.040793825799337,10,0,0,0,0,29,15,29
2020-01-26,0.0,0.0,0.0,0.0,0,0,19,9,29,14,28,36
2020-02-02,16.330760749724362,0.0,16.330760749724362,16.330760749724362,0,9,9,0,28,14,14,14
2020-02-09,0.0,17.040793825799337,0.0,17.040793825799337,19,0,0,0,15,0,0,22
2020-02-16,17.040793825799337,24.851157662624033,33.3715545755237,17.040793825799337,0,10,10,29,36,43,14,14
2020-02-23,0.0,30.53142227122381,0.0,14.91069459757442,17,0,0,0,20,39,0,26
2020-03-01,0.0,15.620727673649391,0.0,0.0,0,0,9,18,40,0,13,20
2020-03-08,0.0,14.200661521499446,0.0,0.0,0,0,0,0,0,12,0,19
2020-03-15,0.0,14.91069459757442,0.0,0.0,8,17,0,0,0,0,0,13
2020-03-22,0.0,0.0,0.0,0.0,0,0,0,8,12,12,0,18
2020-03-29,14.200661521499446,14.200661521499446,0.0,0.0,0,16,0,8,0,0,18,31
2020-04-05,14.91069459757442,0.0,0.0,14.91069459757442,8,8,0,0,0,25,0,19
2020-04-12,0.0,14.91069459757442,0.0,0.0,0,8,0,17,13,0,0,25
2020-04-19,14.200661521499446,0.0,14.200661521499446,0.0,0,0,0,16,12,24,12,24
2020-04-26,14.200661521499446,0.0,0.0,0.0,0,0,0,8,24,0,12,24
2020-05-03,0.0,14.200661521499446,0.0,0.0,0,8,0,0,0,0,13,31
2020-05-10,16.330760749724362,0.0,0.0,16.330760749724362,0,0,0,19,28,14,0,21
