date,Braut Make Up,Musik Hochzeit,Hochzeitsringe,Blumen Hochzeit,Hochzeitsfotos,Hochzeitstorte,Hochzeitsdeko,Hochzeitscatering,Hochzeit Tanzkurs
2018-01-07,0.0,0.0,0.0,0.0,0,29,19,0,0
2018-01-14,0.0,15.823805060918462,0.0,0.0,0,58,26,0,0
2018-01-21,0.0,0.0,16.26335520149953,0.0,0,39,19,0,0
2018-01-28,0.0,0.0,0.0,0.0,0,39,20,0,0
2018-02-04,0.0,16.26335520149953,16.26335520149953,0.0,0,20,20,0,0
2018-02-11,0.0,0.0,0.0,0.0,0,20,0,0,0
2018-02-18,0.0,0.0,16.26335520149953,16.26335520149953,0,20,40,0,0
2018-02-25,0.0,0.0,0.0,0.0,0,29,20,0,0
2018-03-04,0.0,0.0,0.0,0.0,0,100,0,0,0
2018-03-11,0.0,0.0,0.0,32.96626054358013,0,30,0,0,0
2018-03-18,0.0,16.26335520149953,0.0,0.0,0,47,20,0,0
2018-03-25,0.0,0.0,0.0,17.582005623242736,0,65,22,0,0
2018-04-01,0.0,18.021555763823805,0.0,0.0,0,22,22,0,0
2018-04-08,0.0,0.0,0.0,0.0,0,43,0,0,0
2018-04-15,0.0,0.0,0.0,0.0,0,32,21,0,0
2018-04-22,0.0,0.0,0.0,17.142455482661667,0,42,32,0,0
2018-04-29,0.0,18.021555763823805,18.021555763823805,18.021555763823805,22,22,22,0,0
2018-05-06,0.0,18.90065604498594,0.0,0.0,0,34,0,0,0
2018-05-13,0.0,0.0,17.582005623242736,17.142455482661667,21,42,21,0,0
2018-05-20,0.0,0.0,0.0,0.0,43,22,22,0,0
2018-05-27,0.0,0.0,0.0,0.0,20,41,0,0,0
2018-06-03,0.0,17.142455482661667,0.0,17.142455482661667,0,21,21,0,0
2018-06-10,0.0,16.702905342080598,0.0,16.702905342080598,20,20,20,0,0
2018-06-17,0.0,16.702905342080598,16.702905342080598,16.702905342080598,20,30,0,0,0
2018-06-24,0.0,0.0,0.0,0.0,0,0,31,0,0
2018-07-01,0.0,0.0,0.0,34.7244611059044,0,43,21,0,0
2018-07-08,0.0,0.0,0.0,0.0,0,21,42,0,0
2018-07-15,0.0,0.0,0.0,18.021555763823805,22,54,22,0,0
2018-07-22,0.0,0.0,0.0,17.582005623242736,43,21,21,0,0
2018-07-29,0.0,0.0,0.0,0.0,0,63,42,0,0
2018-08-05,0.0,0.0,0.0,0.0,20,20,0,0,0
2018-08-12,0.0,32.96626054358013,16.26335520149953,0.0,0,30,20,0,0
2018-08-19,0.0,0.0,0.0,0.0,20,20,0,0,0
2018-08-26,0.0,16.702905342080598,0.0,0.0,0,21,21,0,0
2018-09-02,0.0,0.0,16.702905342080598,16.702905342080598,0,20,20,0,0
2018-09-09,0.0,0.0,16.702905342080598,16.702905342080598,0,34,30,0,0
2018-09-16,0.0,0.0,16.702905342080598,0.0,30,20,27,0,0
2018-09-23,0.0,0.0,0.0,16.702905342080598,20,20,20,0,0
2018-09-30,0.0,17.582005623242736,0.0,0.0,21,21,21,0,0
2018-10-07,0.0,0.0,0.0,0.0,0,21,0,0,0
2018-10-14,0.0,0.0,0.0,0.0,0,20,0,0,0
2018-10-21,0.0,0.0,15.823805060918462,16.26335520149953,0,19,20,0,0
2018-10-28,0.0,0.0,0.0,15.384254920337394,0,19,19,0,0
2018-11-04,0.0,15.384254920337394,0.0,15.384254920337394,37,19,0,0,0
2018-11-11,0.0,0.0,0.0,0.0,0,38,19,0,0
2018-11-18,0.0,0.0,0.0,0.0,18,0,18,0,0
2018-11-25,0.0,0.0,0.0,0.0,19,19,0,0,0
2018-12-02,0.0,0.0,15.384254920337394,0.0,19,19,0,0,0
2018-12-09,0.0,0.0,0.0,0.0,25,38,0,0,0
2018-12-16,0.0,0.0,0.0,0.0,19,0,0,0,0
2018-12-23,0.0,0.0,0.0,0.0,41,20,20,0,0
2018-12-30,0.0,0.0,0.0,0.0,0,19,29,0,0
2019-01-06,0.0,14.505154639175258,14.505154639175258,14.505154639175258,0,18,0,0,0
2019-01-13,0.0,0.0,0.0,0.0,17,44,0,0,0
2019-01-20,0.0,0.0,0.0,21.53795688847235,35,17,17,0,0
2019-01-27,0.0,0.0,0.0,0.0,17,17,17,0,0
2019-02-03,0.0,0.0,0.0,14.944704779756325,18,18,18,0,0
2019-02-10,0.0,0.0,0.0,15.384254920337394,37,19,19,0,0
2019-02-17,0.0,14.944704779756325,0.0,0.0,36,18,0,0,0
2019-02-24,0.0,0.0,0.0,0.0,18,37,0,0,0
2019-03-03,0.0,14.505154639175258,14.505154639175258,0.0,54,24,0,0,0
2019-03-10,0.0,0.0,0.0,14.505154639175258,18,26,0,0,0
2019-03-17,0.0,15.384254920337394,0.0,0.0,19,19,38,0,0
2019-03-24,0.0,29.88940955951265,14.944704779756325,0.0,18,18,18,0,0
2019-03-31,0.0,15.384254920337394,0.0,15.384254920337394,0,47,19,0,0
2019-04-07,0.0,0.0,0.0,0.0,18,37,19,0,0
2019-04-14,0.0,16.702905342080598,0.0,17.142455482661667,20,21,0,0,0
2019-04-21,0.0,16.26335520149953,0.0,0.0,0,20,39,0,0
2019-04-28,0.0,21.97750702905342,0.0,14.944704779756325,18,24,24,0,0
2019-05-05,0.0,21.53795688847235,0.0,14.505154639175258,0,23,0,0,0
2019-05-12,0.0,0.0,15.384254920337394,0.0,0,18,37,0,0
2019-05-19,0.0,14.944704779756325,14.944704779756325,0.0,18,18,18,0,0
2019-05-26,0.0,0.0,15.823805060918462,0.0,0,28,19,0,0
2019-06-02,0.0,0.0,14.944704779756325,0.0,18,28,0,0,0
2019-06-09,0.0,0.0,0.0,0.0,37,25,18,0,0
2019-06-16,0.0,29.88940955951265,0.0,14.944704779756325,18,18,37,0,0
2019-06-23,0.0,15.823805060918462,0.0,0.0,19,25,0,0,0
2019-06-30,0.0,15.384254920337394,0.0,15.384254920337394,18,28,0,0,0
2019-07-07,0.0,0.0,0.0,0.0,28,0,19,0,0
2019-07-14,0.0,16.26335520149953,0.0,16.26335520149953,20,20,20,0,0
2019-07-21,0.0,17.142455482661667,0.0,0.0,41,21,21,0,0
2019-07-28,0.0,0.0,0.0,16.26335520149953,0,20,30,0,0
2019-08-04,0.0,16.26335520149953,0.0,0.0,0,20,30,0,0
2019-08-11,0.0,0.0,15.384254920337394,0.0,0,0,19,0,0
2019-08-18,0.0,0.0,0.0,0.0,18,19,28,0,0
