date,Braut Make Up,Musik Hochzeit,Hochzeitsringe,Blumen Hochzeit,Hochzeitsfotos,Hochzeitstorte,Hochzeitsdeko,Hochzeitscatering,Hochzeit Tanzkurs
2018-01-07,3.178232904536222,2.022511848341232,3.178232904536222,2.600372376438727,18,65,33,0,5
2018-01-14,3.4671631685849693,2.600372376438727,3.4671631685849693,5.200744752877454,8,71,21,0,5
2018-01-21,2.022511848341232,6.067535545023697,2.600372376438727,6.645396073121191,14,61,34,0,0
2018-01-28,3.178232904536222,4.045023696682464,4.045023696682464,4.622884224779959,13,39,34,5,5
2018-02-04,3.4671631685849693,4.045023696682464,2.022511848341232,6.356465809072444,17,48,28,6,0
2018-02-11,3.178232904536222,2.8893026404874744,2.8893026404874744,4.333953960731211,13,63,37,6,0
2018-02-18,4.045023696682464,3.178232904536222,4.045023696682464,4.045023696682464,9,56,31,0,5
2018-02-25,5.200744752877454,2.022511848341232,4.045023696682464,6.067535545023697,20,54,18,0,0
2018-03-04,3.4671631685849693,2.022511848341232,2.022511848341232,6.356465809072444,7,66,29,0,0
2018-03-11,4.045023696682464,0.0,6.067535545023697,5.200744752877454,11,54,27,0,0
2018-03-18,2.8893026404874744,2.022511848341232,4.045023696682464,7.5121868652674335,8,57,38,0,6
2018-03-25,0.0,2.3114421123899795,4.333953960731211,6.645396073121191,10,56,15,0,6
2018-04-01,2.3114421123899795,3.7560934326337168,2.8893026404874744,5.778605280974949,6,58,23,6,0
2018-04-08,9.245768449559918,2.022511848341232,5.200744752877454,9.245768449559918,14,55,31,0,0
2018-04-15,2.022511848341232,2.022511848341232,2.022511848341232,7.8011171293161805,15,47,28,6,0
2018-04-22,4.045023696682464,2.022511848341232,2.022511848341232,7.5121868652674335,13,45,27,0,9
2018-04-29,3.178232904536222,2.022511848341232,2.022511848341232,11.26828029790115,11,73,26,0,11
2018-05-06,4.333953960731211,4.333953960731211,5.489675016926201,8.667907921462422,13,67,40,0,0
2018-05-13,4.045023696682464,8.090047393364928,2.022511848341232,9.534698713608666,13,61,25,0,5
2018-05-20,2.3114421123899795,5.200744752877454,2.8893026404874744,6.645396073121191,77,100,31,6,6
2018-05-27,5.200744752877454,3.178232904536222,6.067535545023697,10.979350033852402,18,58,31,0,5
2018-06-03,12.135071090047393,5.200744752877454,4.045023696682464,4.045023696682464,14,60,25,5,0
2018-06-10,2.022511848341232,4.045023696682464,4.045023696682464,4.045023696682464,21,37,26,0,0
2018-06-17,2.022511848341232,4.045023696682464,2.022511848341232,8.667907921462422,16,55,43,0,0
2018-06-24,3.178232904536222,3.178232904536222,2.022511848341232,7.5121868652674335,14,80,24,0,5
2018-07-01,2.022511848341232,2.600372376438727,2.8893026404874744,7.5121868652674335,13,41,31,0,5
2018-07-08,2.8893026404874744,4.911814488828707,2.8893026404874744,7.2232566012186865,19,49,28,5,0
2018-07-15,2.022511848341232,2.8893026404874744,2.022511848341232,7.8011171293161805,7,62,36,0,6
2018-07-22,3.178232904536222,4.911814488828707,2.8893026404874744,3.4671631685849693,19,53,23,0,11
2018-07-29,2.8893026404874744,2.8893026404874744,2.8893026404874744,5.489675016926201,19,68,43,0,0
2018-08-05,3.7560934326337168,4.333953960731211,4.333953960731211,9.534698713608666,19,52,14,6,0
2018-08-12,2.3114421123899795,4.333953960731211,8.667907921462422,8.090047393364928,12,72,33,6,0
