date,musica dj,bomboniere matrimonio,fiori matrimonio,Torta matrimonio,film matrimonio,ristorante matrimonio,Wedding planner,Trucco sposa,abiti da cerimonia,foto matrimonio,location matrimoni,gruppo musicale
2018-01-07,0.0,6.218185738227288,0.0,0.0,7.56783493499152,0.0,11.129169022046353,0.0,31,15,0,31
2018-01-14,6.035297922397074,6.035297922397074,0.0,0.0,0.0,0.0,7.122668174109666,0.0,15,15,0,31
2018-01-21,0.0,6.035297922397074,0.0,0.0,7.122668174109666,0.0,0.0,7.122668174109666,53,0,0,23
2018-01-28,0.0,0.0,6.035297922397074,0.0,7.122668174109666,0.0,0.0,0.0,30,15,0,22
2018-02-04,0.0,5.85241010656686,5.85241010656686,0.0,7.122668174109666,0.0,7.122668174109666,0.0,22,15,0,44
2018-02-11,6.035297922397074,6.035297922397074,0.0,0.0,0.0,0.0,7.122668174109666,0.0,68,0,15,30
2018-02-18,0.0,11.521932397303505,5.669522290736646,0.0,0.0,7.122668174109666,13.800169587337479,0.0,79,14,14,0
2018-02-25,0.0,5.669522290736646,5.486634474906431,0.0,0.0,6.677501413227812,0.0,0.0,56,14,0,28
2018-03-04,0.0,17.740118135530793,5.85241010656686,0.0,0.0,0.0,7.122668174109666,7.122668174109666,22,0,0,15
2018-03-11,0.0,0.0,11.887708028963933,0.0,0.0,0.0,0.0,7.122668174109666,51,0,0,29
2018-03-18,0.0,11.70482021313372,5.85241010656686,0.0,0.0,7.122668174109666,0.0,14.245336348219332,30,0,0,15
2018-03-25,0.0,6.401073554057503,0.0,0.0,0.0,0.0,7.56783493499152,7.56783493499152,48,47,0,47
2018-04-01,0.0,6.583961369887717,6.583961369887717,0.0,8.013001695873374,0.0,0.0,0.0,49,17,0,33
2018-04-08,0.0,0.0,5.85241010656686,0.0,0.0,0.0,0.0,0.0,37,0,0,30
2018-04-15,6.218185738227288,9.510166423171146,0.0,0.0,7.56783493499152,0.0,0.0,0.0,56,0,0,24
2018-04-22,0.0,6.401073554057503,6.401073554057503,0.0,7.56783493499152,0.0,0.0,8.013001695873374,65,24,16,33
2018-04-29,6.218185738227288,0.0,6.218185738227288,0.0,0.0,0.0,7.56783493499152,0.0,47,16,0,16
2018-05-06,6.035297922397074,0.0,6.035297922397074,0.0,0.0,0.0,0.0,22.258338044092707,31,0,0,0
2018-05-13,0.0,6.218185738227288,0.0,0.0,18.697003957037875,7.56783493499152,7.56783493499152,7.56783493499152,31,93,0,31
2018-05-20,0.0,0.0,9.144390791510718,0.0,0.0,0.0,7.56783493499152,14.690503109101186,31,54,15,15
2018-05-27,0.0,0.0,0.0,0.0,7.56783493499152,0.0,0.0,0.0,24,16,16,16
2018-06-03,0.0,0.0,0.0,0.0,7.56783493499152,7.56783493499152,0.0,0.0,31,0,0,23
2018-06-10,0.0,5.85241010656686,0.0,0.0,0.0,14.245336348219332,0.0,0.0,15,0,15,30
2018-06-17,0.0,12.070595844794148,0.0,0.0,0.0,10.6840022611645,0.0,0.0,45,30,15,38
2018-06-24,0.0,6.035297922397074,0.0,0.0,14.690503109101186,7.122668174109666,0.0,7.122668174109666,76,30,15,0
2018-07-01,5.85241010656686,5.85241010656686,0.0,0.0,7.122668174109666,10.6840022611645,0.0,0.0,30,0,0,37
2018-07-08,0.0,0.0,5.85241010656686,0.0,0.0,21.368004522329,0.0,0.0,30,15,0,15
2018-07-15,0.0,0.0,0.0,0.0,7.122668174109666,7.122668174109666,14.690503109101186,14.690503109101186,15,15,0,15
2018-07-22,5.85241010656686,0.0,0.0,0.0,0.0,0.0,0.0,7.122668174109666,30,15,0,22
2018-07-29,6.035297922397074,0.0,0.0,0.0,0.0,14.690503109101186,7.122668174109666,0.0,30,30,15,30
2018-08-05,0.0,0.0,12.070595844794148,0.0,0.0,7.122668174109666,7.122668174109666,7.122668174109666,15,15,30,23
2018-08-12,0.0,5.85241010656686,6.035297922397074,0.0,0.0,14.245336348219332,7.122668174109666,7.122668174109666,15,15,15,37
2018-08-19,0.0,0.0,0.0,0.0,7.122668174109666,0.0,7.122668174109666,0.0,45,30,0,22
2018-08-26,0.0,11.156156765643077,0.0,0.0,6.677501413227812,6.677501413227812,6.677501413227812,0.0,28,14,14,21
2018-09-02,0.0,5.85241010656686,8.595727344020075,0.0,0.0,7.122668174109666,7.122668174109666,0.0,29,22,14,0
2018-09-09,0.0,8.961502975680503,0.0,0.0,14.690503109101186,7.122668174109666,0.0,0.0,45,15,15,0
2018-09-16,0.0,0.0,6.035297922397074,0.0,7.122668174109666,7.122668174109666,7.122668174109666,0.0,15,0,15,15
2018-09-23,0.0,0.0,6.035297922397074,0.0,7.122668174109666,0.0,7.122668174109666,0.0,0,30,15,15
2018-09-30,0.0,6.035297922397074,0.0,0.0,0.0,0.0,0.0,0.0,62,0,0,31
2018-10-07,0.0,6.218185738227288,0.0,0.0,0.0,0.0,0.0,0.0,48,32,0,32
2018-10-14,0.0,0.0,6.218185738227288,0.0,0.0,7.56783493499152,0.0,0.0,32,39,16,16
