date,musica dj,fiori matrimonio,Torta matrimonio,Trucco sposa,film matrimonio,foto matrimonio,ristorante matrimonio,Wedding planner,abiti da cerimonia,location matrimoni,bomboniere matrimonio,gruppo musicale
2018-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,61,0,31
2018-01-14,0.0,0.0,0.0,0.0,32.05988734064631,0.0,0.0,16.269196560924993,31,30,30,46
2018-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0,0,0
2018-01-28,0.0,0.0,0.0,0.0,0.0,15.790690779721317,0.0,0.0,30,0,91,30
2018-02-04,0.0,0.0,0.0,0.0,0.0,16.269196560924993,0.0,0.0,90,0,30,0
2018-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.44678327898014,59,29,0,59
2018-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,29,29
2018-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.833679217313964,0,0,0,0
2018-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,29,29
2018-03-11,0.0,0.0,0.0,0.0,15.31218499851764,0.0,0.0,0.0,29,0,29,29
2018-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.269196560924993,93,0,0,0
2018-03-25,0.0,0.0,0.0,0.0,0.0,15.790690779721317,0.0,0.0,30,30,0,0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2018-04-08,0.0,0.0,0.0,0.0,0.0,17.70471390453602,0.0,0.0,0,0,0,0
2018-04-15,0.0,0.0,0.0,0.0,18.661725466943373,0.0,0.0,0.0,71,0,36,71
2018-04-22,0.0,0.0,0.0,0.0,0.0,18.661725466943373,0.0,0.0,36,0,0,0
2018-04-29,0.0,0.0,0.0,0.0,17.70471390453602,0.0,0.0,0.0,50,0,0,34
2018-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,33,33
2018-05-13,0.0,0.0,0.0,0.0,17.226208123332345,17.226208123332345,0.0,17.226208123332345,64,32,65,0
2018-05-20,0.0,0.0,0.0,0.0,17.226208123332345,17.226208123332345,0.0,0.0,49,0,32,0
2018-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,0,0
2018-06-03,0.0,0.0,0.0,0.0,0.0,17.226208123332345,0.0,0.0,0,0,0,50
2018-06-10,0.0,0.0,0.0,0.0,16.74770234212867,0.0,0.0,0.0,32,0,0,32
2018-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,33,100
2018-06-24,0.0,0.0,0.0,0.0,16.74770234212867,16.74770234212867,0.0,0.0,32,0,0,64
2018-07-01,0.0,0.0,0.0,0.0,0.0,15.790690779721317,0.0,15.790690779721317,60,0,0,30
2018-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,58,0,58
2018-07-15,0.0,0.0,0.0,0.0,0.0,44.979543433145565,0.0,0.0,29,0,0,0
2018-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0,42
2018-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,28,0,55
2018-08-05,0.0,0.0,0.0,0.0,0.0,13.398161873702936,0.0,0.0,0,26,0,0
2018-08-12,0.0,0.0,0.0,0.0,13.398161873702936,0.0,0.0,0.0,38,0,38,0
2018-08-19,0.0,0.0,0.0,0.0,13.398161873702936,13.398161873702936,0.0,0.0,0,0,51,38
2018-08-26,0.0,0.0,0.0,0.0,14.355173436110288,14.355173436110288,0.0,0.0,27,0,0,28
