geoName,geoCode,fleur mariage,photo mariage,animation mariage,agence de mariage,Traiteur Mariage
Alsace,FR-A,13,39,11,0,37
Aquitaine,FR-B,21,42,10,0,27
Auvergne,FR-C,20,31,15,0,34
Brittany,FR-E,31,35,7,0,27
Burgundy,FR-D,29,37,7,0,27
Centre-Val de Loire,FR-F,26,40,7,0,27
Champagne-Ardenne,FR-G,38,43,0,0,19
Corsica,FR-H,0,0,0,0,0
Franche-Comté,FR-I,26,42,0,0,32
Languedoc-Roussillon,FR-K,21,49,8,0,22
Limousin,FR-L,8,26,19,0,47
Lorraine,FR-M,19,46,14,0,21
Lower Normandy,FR-P,12,37,8,0,43
Midi-Pyrénées,FR-N,30,36,7,0,27
Nord-Pas-de-Calais,FR-O,23,44,7,0,26
Pays de la Loire,FR-R,25,35,14,0,26
Picardy,FR-S,17,49,5,0,29
Poitou-Charentes,FR-T,25,46,14,0,15
Provence-Alpes-Côte d'Azur,FR-U,21,47,8,0,24
Rhone-Alpes,FR-V,22,44,12,0,22
Upper Normandy,FR-Q,28,31,6,0,35
Île-de-France,FR-J,24,39,9,2,26
