date,fleur mariage,animation mariage,agence de mariage,Traiteur Mariage,maquilleuse professionnelle,photo mariage,costume sur mesure
2018-01-07,0,0,0,22,0,30,18
2018-01-14,0,0,0,23,0,18,19
2018-01-21,22,0,0,44,0,45,0
2018-01-28,23,23,0,34,0,44,19
2018-02-04,22,0,0,0,0,30,0
2018-02-11,23,22,0,22,0,36,0
2018-02-18,23,0,0,47,0,38,38
2018-02-25,0,22,0,33,0,35,0
2018-03-04,0,44,0,44,0,30,0
2018-03-11,0,0,0,0,0,19,0
2018-03-18,23,0,0,45,0,65,18
2018-03-25,23,0,0,23,0,18,0
2018-04-01,46,0,0,34,0,19,0
2018-04-08,42,42,0,21,0,17,0
2018-04-15,49,25,0,25,0,30,0
2018-04-22,0,0,0,47,0,57,0
2018-04-29,22,22,0,22,0,27,18
2018-05-06,0,0,0,22,0,60,18
2018-05-13,22,22,0,0,0,66,0
2018-05-20,46,0,0,23,0,100,19
2018-05-27,44,66,0,22,0,42,18
2018-06-03,0,0,0,34,0,46,0
2018-06-10,43,22,0,0,0,44,0
2018-06-17,46,0,0,23,0,28,0
2018-06-24,46,0,0,0,0,37,18
2018-07-01,22,0,0,33,0,36,0
2018-07-08,32,21,0,0,0,35,0
2018-07-15,22,43,0,22,0,18,0
2018-07-22,21,0,0,0,0,47,18
2018-07-29,21,0,0,42,0,40,17
2018-08-05,0,39,0,30,0,32,0
2018-08-12,20,0,0,20,0,38,0
2018-08-19,21,21,0,42,0,34,0
2018-08-26,22,0,0,22,0,44,18
2018-09-02,45,0,0,22,0,36,0
2018-09-09,23,0,0,23,0,49,0
2018-09-16,0,23,0,23,0,28,19
2018-09-23,35,0,0,0,0,19,0
2018-09-30,0,23,0,0,0,57,0
2018-10-07,23,0,0,23,0,37,19
2018-10-14,23,0,0,46,0,25,0
2018-10-21,24,0,0,24,0,0,0
2018-10-28,23,0,0,0,0,37,19
2018-11-04,0,0,0,22,0,18,0
2018-11-11,0,0,0,0,0,38,18
2018-11-18,0,0,0,45,0,37,18
2018-11-25,0,0,0,23,0,38,0
2018-12-02,24,0,0,0,0,26,19
2018-12-09,0,0,0,24,0,29,0
2018-12-16,24,0,0,0,0,27,20
2018-12-23,28,0,0,27,0,30,0
2018-12-30,0,0,0,50,0,21,0
2019-01-06,23,0,0,59,0,38,0
2019-01-13,23,0,0,35,0,32,0
2019-01-20,0,0,0,0,0,46,0
2019-01-27,0,0,0,0,0,27,0
2019-02-03,23,35,0,23,0,19,0
2019-02-10,35,0,0,23,0,19,19
2019-02-17,47,0,0,0,0,38,0
2019-02-24,24,0,0,24,0,20,0
2019-03-03,24,0,0,24,0,20,20
2019-03-10,24,0,0,24,0,26,0
2019-03-17,0,0,0,0,0,39,20
2019-03-24,24,24,0,24,0,19,0
2019-03-31,23,23,0,23,0,19,0
2019-04-07,23,23,0,46,0,28,0
2019-04-14,22,22,0,33,0,18,0
2019-04-21,22,0,0,44,0,0,18
2019-04-28,23,0,0,0,0,28,0
2019-05-05,22,0,0,0,0,54,0
2019-05-12,22,0,0,0,0,54,0
2019-05-19,0,22,0,45,0,27,18
2019-05-26,22,0,0,22,0,27,0
2019-06-02,32,0,0,43,0,29,17
2019-06-09,42,0,0,0,0,60,0
2019-06-16,0,0,0,45,0,24,0
2019-06-23,33,0,0,0,0,18,18
2019-06-30,43,21,0,0,0,26,0
2019-07-07,20,21,0,20,0,33,0
2019-07-14,21,0,0,31,0,28,0
2019-07-21,30,30,0,20,0,40,16
2019-07-28,29,0,0,19,0,16,0
2019-08-04,19,0,0,0,0,21,15
2019-08-11,38,19,0,0,0,39,0
2019-08-18,18,0,0,35,0,29,14
2019-08-25,35,17,0,26,0,21,0
2019-09-01,20,0,0,0,0,42,0
2019-09-08,21,0,0,0,0,42,0
2019-09-15,30,20,0,30,0,25,0
2019-09-22,21,0,0,42,0,42,0
2019-09-29,21,0,0,42,0,34,0
2019-10-06,0,0,0,21,0,34,0
2019-10-13,42,0,0,21,0,34,17
2019-10-20,20,20,0,40,0,33,16
2019-10-27,20,0,0,0,0,39,17
2019-11-03,0,20,0,41,0,25,0
2019-11-10,20,20,0,21,0,50,0
2019-11-17,20,0,0,20,0,17,17
2019-11-24,20,0,0,20,0,16,0
2019-12-01,20,20,0,40,0,33,0
2019-12-08,41,0,0,31,0,44,17
2019-12-15,20,0,0,0,0,25,0
2019-12-22,23,0,0,0,0,19,19
2019-12-29,22,0,0,0,0,35,18
2020-01-05,20,20,0,20,0,27,0
2020-01-12,0,0,0,19,0,16,16
2020-01-19,39,0,0,19,0,16,0
2020-01-26,20,0,0,20,0,27,16
2020-02-02,0,0,0,20,0,32,0
2020-02-09,0,21,0,21,0,22,17
2020-02-16,20,20,0,20,0,56,16
2020-02-23,19,0,0,18,0,30,15
2020-03-01,0,0,0,18,0,15,15
2020-03-08,19,0,0,0,0,20,0
2020-03-15,17,0,0,0,0,20,0
2020-03-22,0,0,0,16,0,22,13
2020-03-29,0,0,0,16,0,13,0
2020-04-05,17,17,0,0,0,41,0
2020-04-12,49,16,0,16,0,22,13
2020-04-19,31,0,0,0,0,0,0
2020-04-26,16,0,0,16,0,13,0
2020-05-03,0,0,0,16,0,13,0
2020-05-10,0,16,0,16,0,20,0
