date,Braut Make Up,Musik Hochzeit,Hochzeitsringe,Blumen Hochzeit,Hochzeitsfotos,Hochzeitstorte,Hochzeitsdeko,Hochzeitscatering,Hochzeit Tanzkurs
2018-01-07,0,0,23,23,23,45,22,0,0
2018-01-14,23,23,23,23,23,62,47,0,0
2018-01-21,0,0,0,35,23,58,0,0,0
2018-01-28,22,23,23,23,0,34,45,0,0
2018-02-04,0,23,23,23,23,70,23,0,0
2018-02-11,23,23,0,47,0,31,23,0,0
2018-02-18,0,24,0,24,0,63,31,0,0
2018-02-25,0,0,0,23,23,76,23,0,0
2018-03-04,0,69,0,23,34,34,23,0,0
2018-03-11,0,0,23,0,0,61,45,0,0
2018-03-18,0,23,23,23,0,92,34,0,0
2018-03-25,0,24,24,0,24,57,0,0,0
2018-04-01,0,0,0,25,0,25,33,0,0
2018-04-08,23,24,0,24,35,35,23,0,0
2018-04-15,0,24,24,24,24,64,0,0,0
2018-04-22,23,0,0,23,23,58,23,0,0
2018-04-29,0,24,24,60,24,60,24,0,0
2018-05-06,0,48,0,24,48,48,24,0,0
2018-05-13,33,44,22,0,33,44,33,0,0
2018-05-20,0,23,23,39,100,54,23,0,0
2018-05-27,22,22,0,45,22,23,45,0,0
2018-06-03,0,0,0,23,0,69,34,0,0
2018-06-10,22,34,22,0,68,45,22,0,0
2018-06-17,22,23,22,22,22,45,45,0,0
2018-06-24,23,23,0,23,0,38,23,0,0
2018-07-01,0,24,0,47,0,94,39,0,0
2018-07-08,0,0,23,23,47,39,23,0,0
2018-07-15,0,0,24,24,24,37,25,0,0
2018-07-22,0,0,24,24,24,40,24,0,0
2018-07-29,0,0,0,0,0,48,39,0,0
2018-08-05,22,22,33,22,22,44,22,0,0
2018-08-12,0,22,43,33,0,33,22,0,0
2018-08-19,22,22,22,45,56,22,33,0,0
2018-08-26,0,0,22,45,0,68,22,0,0
2018-09-02,0,23,22,34,0,23,45,0,0
2018-09-09,0,22,22,22,22,37,34,0,0
2018-09-16,23,35,0,23,23,31,0,0,0
2018-09-23,0,0,23,0,23,34,23,0,0
2018-09-30,23,0,0,23,23,92,23,0,0
2018-10-07,0,0,47,24,36,24,0,0,0
2018-10-14,0,0,0,0,23,46,23,0,0
2018-10-21,0,22,0,0,22,58,22,0,0
2018-10-28,22,0,0,21,21,22,43,0,0
2018-11-04,0,0,22,0,21,43,22,0,0
2018-11-11,0,0,0,0,22,55,22,0,0
2018-11-18,0,21,0,0,0,33,0,0,0
2018-11-25,0,22,0,22,22,22,22,0,0
2018-12-02,0,22,22,0,0,65,22,0,0
2018-12-09,0,0,0,0,0,22,22,0,0
2018-12-16,0,0,0,23,22,0,0,0,0
2018-12-23,0,0,0,0,0,74,50,0,0
2018-12-30,0,0,0,0,0,23,68,0,0
