date,fleur mariage,animation mariage,agence de mariage,Traiteur Mariage,maquilleuse professionnelle,photo mariage,costume sur mesure
2018-01-07,13,13,0,38,0,21,0
2018-01-14,13,19,0,25,0,10,0
2018-01-21,13,19,0,13,0,10,0
2018-01-28,13,0,0,13,0,26,0
2018-02-04,13,13,0,13,0,21,10
2018-02-11,26,0,0,13,0,10,0
2018-02-18,13,13,0,26,0,31,0
2018-02-25,0,0,0,13,0,21,0
2018-03-04,26,13,0,13,0,21,0
2018-03-11,32,13,0,26,0,21,10
2018-03-18,13,13,0,26,0,37,0
2018-03-25,0,13,0,13,0,0,0
2018-04-01,0,13,0,19,0,11,0
2018-04-08,0,13,0,13,0,16,0
2018-04-15,27,13,0,13,0,16,11
2018-04-22,25,13,0,19,0,16,10
2018-04-29,27,27,0,0,0,16,0
2018-05-06,14,14,0,0,0,22,0
2018-05-13,27,0,0,14,0,66,0
2018-05-20,14,18,0,20,0,100,0
2018-05-27,20,20,0,13,0,42,11
2018-06-03,0,0,0,13,0,41,0
2018-06-10,25,12,0,13,0,20,10
2018-06-17,27,20,0,13,0,38,11
2018-06-24,20,13,0,0,0,22,0
2018-07-01,19,13,0,32,0,26,0
2018-07-08,13,0,0,27,0,11,0
2018-07-15,21,27,0,21,0,11,11
2018-07-22,13,13,0,40,0,22,0
2018-07-29,13,20,0,13,0,32,0
2018-08-05,19,13,0,26,0,21,11
2018-08-12,13,17,0,13,0,21,21
2018-08-19,13,20,0,17,0,37,0
2018-08-26,13,13,0,13,0,21,0
2018-09-02,13,0,0,13,0,21,0
2018-09-09,27,13,0,26,0,11,0
2018-09-16,26,13,0,20,0,11,0
2018-09-23,13,0,0,33,0,11,0
2018-09-30,13,13,0,13,0,16,0
2018-10-07,0,13,0,13,0,11,11
2018-10-14,0,0,0,14,0,45,0
2018-10-21,13,0,0,27,0,16,0
2018-10-28,0,0,0,0,0,11,11
2018-11-04,13,0,0,13,0,10,0
2018-11-11,13,13,0,13,0,11,0
2018-11-18,0,0,0,13,0,21,0
2018-11-25,0,0,0,13,0,10,0
2018-12-02,26,19,0,13,0,10,11
2018-12-09,0,13,0,13,0,0,0
2018-12-16,13,0,0,13,0,16,0
2018-12-23,14,0,0,15,0,12,0
2018-12-30,14,14,0,14,0,11,11
2019-01-06,0,0,0,13,0,11,0
2019-01-13,0,13,0,13,0,26,0
2019-01-20,31,0,0,31,0,10,0
2019-01-27,13,0,0,25,0,15,0
2019-02-03,13,0,0,13,0,0,0
2019-02-10,23,14,0,23,0,0,0
2019-02-17,0,13,0,27,0,11,0
2019-02-24,13,13,0,22,0,21,0
2019-03-03,13,38,0,13,0,21,0
2019-03-10,0,0,0,0,0,42,0
2019-03-17,13,13,0,13,0,0,0
2019-03-24,14,0,0,34,0,11,0
2019-03-31,13,17,0,13,0,21,0
2019-04-07,20,14,0,13,0,22,11
2019-04-14,13,13,0,13,0,22,0
2019-04-21,13,13,0,17,0,31,10
2019-04-28,25,12,0,12,0,25,10
2019-05-05,19,13,0,12,0,20,0
2019-05-12,13,13,0,13,0,32,0
2019-05-19,19,20,0,26,0,16,10
2019-05-26,19,13,0,25,0,26,0
2019-06-02,12,12,0,36,0,29,10
2019-06-09,0,18,0,24,0,35,0
2019-06-16,13,26,0,17,0,31,0
2019-06-23,13,0,0,19,0,26,0
2019-06-30,19,13,0,13,0,16,0
2019-07-07,19,25,0,17,0,21,0
2019-07-14,12,0,0,12,0,10,0
2019-07-21,13,13,0,13,0,10,10
2019-07-28,24,12,0,0,0,25,0
2019-08-04,12,12,0,24,0,10,10
2019-08-11,0,11,0,11,0,19,0
2019-08-18,19,13,0,25,0,10,10
2019-08-25,18,18,0,18,0,19,0
2019-09-01,12,18,0,18,0,20,0
2019-09-08,12,12,0,12,0,10,10
2019-09-15,0,18,0,24,0,25,0
2019-09-22,12,12,0,18,0,10,0
2019-09-29,12,12,0,12,0,24,10
2019-10-06,16,0,0,12,0,9,10
2019-10-13,23,12,0,12,0,10,0
2019-10-20,23,0,0,12,0,0,0
2019-10-27,16,0,0,22,0,18,0
2019-11-03,11,11,0,11,0,9,9
2019-11-10,11,11,0,57,0,0,0
2019-11-17,0,0,0,0,0,0,0
2019-11-24,11,11,0,11,0,0,0
2019-12-01,11,11,0,0,0,9,9
2019-12-08,11,0,0,0,0,9,9
2019-12-15,0,0,0,11,0,27,0
2019-12-22,0,0,0,18,0,20,0
2019-12-29,12,24,0,12,0,14,0
2020-01-05,15,11,0,18,0,9,0
2020-01-12,21,11,0,25,0,9,0
2020-01-19,22,0,0,19,0,37,0
2020-01-26,11,0,0,16,0,22,0
2020-02-02,22,11,0,11,0,9,0
2020-02-09,11,16,0,11,0,0,9
2020-02-16,11,11,0,15,0,18,0
2020-02-23,11,0,0,0,0,17,0
2020-03-01,10,10,0,16,0,17,0
2020-03-08,10,0,0,15,0,13,0
2020-03-15,0,0,0,0,0,0,8
2020-03-22,9,9,0,0,0,7,0
2020-03-29,9,0,0,13,0,11,0
2020-04-05,9,13,0,9,0,7,0
2020-04-12,18,18,0,14,0,7,0
2020-04-19,0,0,0,18,0,7,15
2020-04-26,17,0,0,0,0,7,0
2020-05-03,13,0,0,14,0,14,0
2020-05-10,9,0,0,0,0,0,8
