geoName,geoCode,Braut Make Up,Musik Hochzeit,Hochzeitsringe,Blumen Hochzeit,Hochzeitsfotos
Baden-Württemberg,DE-BW,11,16,13,33,27
Bavaria,DE-BY,11,13,12,30,34
Berlin,DE-BE,20,21,20,23,16
Brandenburg,DE-BB,0,35,30,15,20
Bremen,DE-HB,0,0,0,0,100
Hamburg,DE-HH,28,0,14,35,23
Hesse,DE-HE,17,21,14,20,28
Lower Saxony,DE-NI,11,13,13,29,34
Mecklenburg-Vorpommern,DE-MV,0,0,0,0,0
North Rhine-Westphalia,DE-NW,12,11,15,35,27
Rhineland-Palatinate,DE-RP,14,14,12,41,19
Saarland,DE-SL,0,0,0,0,0
Saxony,DE-SN,8,14,14,42,22
Saxony-Anhalt,DE-ST,15,0,21,41,23
Schleswig-Holstein,DE-SH,24,27,11,19,19
Thuringia,DE-TH,0,46,18,18,18
