date,Braut Make Up,Musik Hochzeit,Hochzeitsringe,Blumen Hochzeit,Hochzeitsfotos,Hochzeitstorte,Hochzeitsdeko,Hochzeitscatering,Hochzeit Tanzkurs
2019-07-14,0.0,0.0,0.0,0.0,28,28,28,0,0
2019-07-21,0.0,0.0,17.476620825147343,0.0,0,39,29,0,0
2019-07-28,0.0,0.0,0.0,0.0,56,55,0,0,0
2019-08-04,0.0,0.0,0.0,0.0,0,28,28,0,0
2019-08-11,0.0,0.0,0.0,0.0,0,27,27,0,0
2019-08-18,0.0,0.0,34.12102161100196,0.0,0,57,29,0,0
2019-08-25,0.0,0.0,0.0,0.0,0,28,28,0,0
2019-09-01,0.0,0.0,0.0,0.0,28,28,0,0,0
2019-09-08,0.0,0.0,0.0,0.0,28,28,28,0,0
2019-09-15,0.0,0.0,0.0,0.0,0,29,0,0,0
2019-09-22,0.0,0.0,0.0,0.0,0,0,0,0,0
2019-09-29,0.0,0.0,0.0,0.0,0,42,0,0,0
2019-10-06,0.0,0.0,0.0,0.0,28,28,28,0,0
2019-10-13,0.0,0.0,0.0,0.0,26,53,0,0,0
2019-10-20,0.0,0.0,0.0,0.0,0,27,0,0,0
2019-10-27,0.0,0.0,0.0,0.0,0,41,0,0,0
2019-11-03,0.0,0.0,0.0,0.0,0,26,0,0,0
2019-11-10,0.0,0.0,0.0,0.0,0,0,0,0,0
2019-11-17,0.0,0.0,0.0,0.0,0,45,0,0,0
2019-11-24,0.0,0.0,0.0,0.0,0,28,0,0,0
2019-12-01,0.0,0.0,17.06051080550098,0.0,29,28,0,0,0
2019-12-08,0.0,0.0,0.0,0.0,0,28,0,0,0
2019-12-15,0.0,0.0,0.0,0.0,0,28,0,0,0
2019-12-22,0.0,0.0,0.0,0.0,0,0,0,0,0
2019-12-29,0.0,0.0,15.396070726915518,0.0,0,0,26,0,0
2020-01-05,0.0,0.0,0.0,0.0,0,26,51,0,0
2020-01-12,0.0,0.0,0.0,0.0,0,25,75,0,0
2020-01-19,0.0,0.0,0.0,0.0,25,26,0,0,0
2020-01-26,0.0,0.0,0.0,0.0,0,42,75,0,0
2020-02-02,0.0,0.0,14.979960707269152,0.0,0,50,25,0,0
2020-02-09,0.0,0.0,0.0,0.0,0,27,27,0,0
2020-02-16,0.0,0.0,15.812180746561884,0.0,0,0,53,0,0
2020-02-23,0.0,0.0,0.0,0.0,0,43,0,0,0
2020-03-01,0.0,0.0,15.396070726915518,0.0,0,26,0,0,0
2020-03-08,0.0,0.0,0.0,0.0,0,24,0,0,0
2020-03-15,0.0,0.0,0.0,0.0,0,0,24,0,0
2020-03-22,0.0,0.0,0.0,0.0,24,0,23,0,0
2020-03-29,0.0,0.0,0.0,0.0,0,23,0,0,0
2020-04-05,0.0,0.0,0.0,0.0,0,0,26,0,0
2020-04-12,0.0,0.0,0.0,0.0,0,25,0,0,0
2020-04-19,0.0,0.0,0.0,0.0,0,25,0,0,0
2020-04-26,0.0,0.0,0.0,0.0,0,24,0,0,0
2020-05-03,0.0,0.0,0.0,0.0,24,24,24,0,0
2020-05-10,0.0,0.0,0.0,0.0,0,24,0,0,0
2020-05-17,0.0,0.0,0.0,0.0,0,26,26,0,0
2020-05-24,0.0,0.0,0.0,0.0,0,47,0,0,0
2020-05-31,0.0,0.0,13.315520628683691,0.0,0,22,33,0,0
2020-06-07,0.0,0.0,14.563850687622788,0.0,0,33,25,0,0
